"","Ancestor","Description"
"1","GO:0003008","system process"
"2","GO:0007600","sensory perception"
"3","GO:0007606","sensory perception of chemical stimulus"
"4","GO:0007608","sensory perception of smell"
"5","GO:0008150","biological_process"
"6","GO:0009593","detection of chemical stimulus"
"7","GO:0032501","multicellular organismal process"
"8","GO:0042221","response to chemical"
"9","GO:0050877","nervous system process"
"10","GO:0050896","response to stimulus"
"11","GO:0050906","detection of stimulus involved in sensory perception"
"12","GO:0050907","detection of chemical stimulus involved in sensory perception"
"13","GO:0051606","detection of stimulus"
"14","all","all"
"15","GO:0006576","biogenic amine metabolic process"
"16","GO:0006584","catecholamine metabolic process"
"17","GO:0006725","cellular aromatic compound metabolic process"
"18","GO:0006807","nitrogen compound metabolic process"
"19","GO:0008152","metabolic process"
"20","GO:0009308","amine metabolic process"
"21","GO:0009712","catechol-containing compound metabolic process"
"22","GO:0009987","cellular process"
"23","GO:0018958","phenol-containing compound metabolic process"
"24","GO:0044237","cellular metabolic process"
"25","GO:0071704","organic substance metabolic process"
"26","GO:1901360","organic cyclic compound metabolic process"
"27","GO:1901564","organonitrogen compound metabolic process"
"28","GO:1901615","organic hydroxy compound metabolic process"
"29","GO:0007154","cell communication"
"30","GO:0007165","signal transduction"
"31","GO:0023052","signaling"
"32","GO:0035556","intracellular signal transduction"
"33","GO:0050789","regulation of biological process"
"34","GO:0050794","regulation of cellular process"
"35","GO:0051716","cellular response to stimulus"
"36","GO:0065007","biological regulation"
"37","GO:0044403","biological process involved in symbiotic interaction"
"38","GO:0044419","biological process involved in interspecies interaction between organisms"
"39","GO:0051702","biological process involved in interaction with symbiont"
"40","GO:0051851","modulation by host of symbiont process"
"41","GO:0007275","multicellular organism development"
"42","GO:0007399","nervous system development"
"43","GO:0007417","central nervous system development"
"44","GO:0007420","brain development"
"45","GO:0021537","telencephalon development"
"46","GO:0030900","forebrain development"
"47","GO:0032502","developmental process"
"48","GO:0048513","animal organ development"
"49","GO:0048731","system development"
"50","GO:0048856","anatomical structure development"
"51","GO:0060322","head development"
"52","GO:0006810","transport"
"53","GO:0008643","carbohydrate transport"
"54","GO:0008645","hexose transmembrane transport"
"55","GO:0010827","regulation of glucose transmembrane transport"
"56","GO:0010828","positive regulation of glucose transmembrane transport"
"57","GO:0015749","monosaccharide transmembrane transport"
"58","GO:0032879","regulation of localization"
"59","GO:0034219","carbohydrate transmembrane transport"
"60","GO:0034762","regulation of transmembrane transport"
"61","GO:0034764","positive regulation of transmembrane transport"
"62","GO:0046323","glucose import"
"63","GO:0046324","regulation of glucose import"
"64","GO:0048518","positive regulation of biological process"
"65","GO:0048522","positive regulation of cellular process"
"66","GO:0051049","regulation of transport"
"67","GO:0051050","positive regulation of transport"
"68","GO:0051179","localization"
"69","GO:0051234","establishment of localization"
"70","GO:0055085","transmembrane transport"
"71","GO:0071702","organic substance transport"
"72","GO:1904659","glucose transmembrane transport"
"73","GO:0001816","cytokine production"
"74","GO:0001817","regulation of cytokine production"
"75","GO:0001818","negative regulation of cytokine production"
"76","GO:0009058","biosynthetic process"
"77","GO:0009059","macromolecule biosynthetic process"
"78","GO:0009889","regulation of biosynthetic process"
"79","GO:0009890","negative regulation of biosynthetic process"
"80","GO:0009892","negative regulation of metabolic process"
"81","GO:0010467","gene expression"
"82","GO:0010468","regulation of gene expression"
"83","GO:0010556","regulation of macromolecule biosynthetic process"
"84","GO:0010558","negative regulation of macromolecule biosynthetic process"
"85","GO:0010605","negative regulation of macromolecule metabolic process"
"86","GO:0010629","negative regulation of gene expression"
"87","GO:0019222","regulation of metabolic process"
"88","GO:0031323","regulation of cellular metabolic process"
"89","GO:0031324","negative regulation of cellular metabolic process"
"90","GO:0031326","regulation of cellular biosynthetic process"
"91","GO:0031327","negative regulation of cellular biosynthetic process"
"92","GO:0032609","type II interferon production"
"93","GO:0032649","regulation of type II interferon production"
"94","GO:0043170","macromolecule metabolic process"
"95","GO:0044249","cellular biosynthetic process"
"96","GO:0048519","negative regulation of biological process"
"97","GO:0048523","negative regulation of cellular process"
"98","GO:0051239","regulation of multicellular organismal process"
"99","GO:0051241","negative regulation of multicellular organismal process"
"100","GO:0060255","regulation of macromolecule metabolic process"
"101","GO:1901576","organic substance biosynthetic process"
"102","GO:0007416","synapse assembly"
"103","GO:0016043","cellular component organization"
"104","GO:0022607","cellular component assembly"
"105","GO:0034329","cell junction assembly"
"106","GO:0034330","cell junction organization"
"107","GO:0044085","cellular component biogenesis"
"108","GO:0044087","regulation of cellular component biogenesis"
"109","GO:0050803","regulation of synapse structure or activity"
"110","GO:0050807","regulation of synapse organization"
"111","GO:0050808","synapse organization"
"112","GO:0051128","regulation of cellular component organization"
"113","GO:0051963","regulation of synapse assembly"
"114","GO:0065008","regulation of biological quality"
"115","GO:0071840","cellular component organization or biogenesis"
