"","GO.ID","Ancestor","Description"
"1","GO:0060371","GO:0003254","regulation of membrane depolarization"
"2","GO:0060371","GO:0008150","biological_process"
"3","GO:0060371","GO:0009987","cellular process"
"4","GO:0060371","GO:0042391","regulation of membrane potential"
"5","GO:0060371","GO:0050789","regulation of biological process"
"6","GO:0060371","GO:0050794","regulation of cellular process"
"7","GO:0060371","GO:0051899","membrane depolarization"
"8","GO:0060371","GO:0065007","biological regulation"
"9","GO:0060371","GO:0065008","regulation of biological quality"
"10","GO:0060371","all","all"
"11","GO:0046415","GO:0006725","cellular aromatic compound metabolic process"
"12","GO:0046415","GO:0006807","nitrogen compound metabolic process"
"13","GO:0046415","GO:0008150","biological_process"
"14","GO:0046415","GO:0008152","metabolic process"
"15","GO:0046415","GO:0009987","cellular process"
"16","GO:0046415","GO:0034641","cellular nitrogen compound metabolic process"
"17","GO:0046415","GO:0044237","cellular metabolic process"
"18","GO:0046415","GO:0044281","small molecule metabolic process"
"19","GO:0046415","GO:0046483","heterocycle metabolic process"
"20","GO:0046415","GO:0071704","organic substance metabolic process"
"21","GO:0046415","GO:0072521","purine-containing compound metabolic process"
"22","GO:0046415","GO:1901360","organic cyclic compound metabolic process"
"23","GO:0046415","GO:1901564","organonitrogen compound metabolic process"
"24","GO:0046415","all","all"
"25","GO:0060307","GO:0008150","biological_process"
"26","GO:0060307","GO:0042391","regulation of membrane potential"
"27","GO:0060307","GO:0050789","regulation of biological process"
"28","GO:0060307","GO:0060306","regulation of membrane repolarization"
"29","GO:0060307","GO:0065007","biological regulation"
"30","GO:0060307","GO:0065008","regulation of biological quality"
"31","GO:0060307","GO:0086009","membrane repolarization"
"32","GO:0060307","GO:0099622","cardiac muscle cell membrane repolarization"
"33","GO:0060307","GO:0099623","regulation of cardiac muscle cell membrane repolarization"
"34","GO:0060307","GO:0099625","ventricular cardiac muscle cell membrane repolarization"
"35","GO:0060307","all","all"
"36","GO:0008283","GO:0008150","biological_process"
"37","GO:0008283","GO:0009987","cellular process"
"38","GO:0008283","all","all"
"39","GO:0042733","GO:0007275","multicellular organism development"
"40","GO:0042733","GO:0008150","biological_process"
"41","GO:0042733","GO:0009653","anatomical structure morphogenesis"
"42","GO:0042733","GO:0009790","embryo development"
"43","GO:0042733","GO:0030326","embryonic limb morphogenesis"
"44","GO:0042733","GO:0032501","multicellular organismal process"
"45","GO:0042733","GO:0032502","developmental process"
"46","GO:0042733","GO:0035107","appendage morphogenesis"
"47","GO:0042733","GO:0035108","limb morphogenesis"
"48","GO:0042733","GO:0035113","embryonic appendage morphogenesis"
"49","GO:0042733","GO:0048598","embryonic morphogenesis"
"50","GO:0042733","GO:0048736","appendage development"
"51","GO:0042733","GO:0048856","anatomical structure development"
"52","GO:0042733","GO:0060173","limb development"
"53","GO:0042733","all","all"
"54","GO:0021542","GO:0007275","multicellular organism development"
"55","GO:0021542","GO:0007399","nervous system development"
"56","GO:0021542","GO:0007417","central nervous system development"
"57","GO:0021542","GO:0007420","brain development"
"58","GO:0021542","GO:0008150","biological_process"
"59","GO:0021542","GO:0021537","telencephalon development"
"60","GO:0021542","GO:0021543","pallium development"
"61","GO:0021542","GO:0021761","limbic system development"
"62","GO:0021542","GO:0021766","hippocampus development"
"63","GO:0021542","GO:0030900","forebrain development"
"64","GO:0021542","GO:0032501","multicellular organismal process"
"65","GO:0021542","GO:0032502","developmental process"
"66","GO:0021542","GO:0048513","animal organ development"
"67","GO:0021542","GO:0048731","system development"
"68","GO:0021542","GO:0048856","anatomical structure development"
"69","GO:0021542","GO:0060322","head development"
"70","GO:0021542","all","all"
"71","GO:0055002","GO:0008150","biological_process"
"72","GO:0055002","GO:0009987","cellular process"
"73","GO:0055002","GO:0030154","cell differentiation"
"74","GO:0055002","GO:0032502","developmental process"
"75","GO:0055002","GO:0042692","muscle cell differentiation"
"76","GO:0055002","GO:0048468","cell development"
"77","GO:0055002","GO:0048856","anatomical structure development"
"78","GO:0055002","GO:0048869","cellular developmental process"
"79","GO:0055002","GO:0051146","striated muscle cell differentiation"
"80","GO:0055002","GO:0055001","muscle cell development"
"81","GO:0055002","GO:0061061","muscle structure development"
"82","GO:0055002","all","all"
"83","GO:1990823","GO:0008150","biological_process"
"84","GO:1990823","GO:0010033","response to organic substance"
"85","GO:1990823","GO:0034097","response to cytokine"
"86","GO:1990823","GO:0042221","response to chemical"
"87","GO:1990823","GO:0050896","response to stimulus"
"88","GO:1990823","all","all"
"89","GO:0032259","GO:0008150","biological_process"
"90","GO:0032259","GO:0008152","metabolic process"
"91","GO:0032259","all","all"
"92","GO:0006346","GO:0006325","chromatin organization"
"93","GO:0006346","GO:0006338","chromatin remodeling"
"94","GO:0006346","GO:0008150","biological_process"
"95","GO:0006346","GO:0008152","metabolic process"
"96","GO:0006346","GO:0009058","biosynthetic process"
"97","GO:0006346","GO:0009059","macromolecule biosynthetic process"
"98","GO:0006346","GO:0009889","regulation of biosynthetic process"
"99","GO:0006346","GO:0009890","negative regulation of biosynthetic process"
"100","GO:0006346","GO:0009892","negative regulation of metabolic process"
"101","GO:0006346","GO:0009987","cellular process"
"102","GO:0006346","GO:0010467","gene expression"
"103","GO:0006346","GO:0010468","regulation of gene expression"
"104","GO:0006346","GO:0010556","regulation of macromolecule biosynthetic process"
"105","GO:0006346","GO:0010558","negative regulation of macromolecule biosynthetic process"
"106","GO:0006346","GO:0010605","negative regulation of macromolecule metabolic process"
"107","GO:0006346","GO:0010629","negative regulation of gene expression"
"108","GO:0006346","GO:0016043","cellular component organization"
"109","GO:0006346","GO:0019222","regulation of metabolic process"
"110","GO:0006346","GO:0031323","regulation of cellular metabolic process"
"111","GO:0006346","GO:0031324","negative regulation of cellular metabolic process"
"112","GO:0006346","GO:0031326","regulation of cellular biosynthetic process"
"113","GO:0006346","GO:0031327","negative regulation of cellular biosynthetic process"
"114","GO:0006346","GO:0031507","heterochromatin formation"
"115","GO:0006346","GO:0040029","epigenetic regulation of gene expression"
"116","GO:0006346","GO:0043170","macromolecule metabolic process"
"117","GO:0006346","GO:0043933","protein-containing complex organization"
"118","GO:0006346","GO:0044237","cellular metabolic process"
"119","GO:0006346","GO:0044249","cellular biosynthetic process"
"120","GO:0006346","GO:0045814","negative regulation of gene expression, epigenetic"
"121","GO:0006346","GO:0048519","negative regulation of biological process"
"122","GO:0006346","GO:0048523","negative regulation of cellular process"
"123","GO:0006346","GO:0050789","regulation of biological process"
"124","GO:0006346","GO:0050794","regulation of cellular process"
"125","GO:0006346","GO:0060255","regulation of macromolecule metabolic process"
"126","GO:0006346","GO:0065007","biological regulation"
"127","GO:0006346","GO:0070828","heterochromatin organization"
"128","GO:0006346","GO:0071704","organic substance metabolic process"
"129","GO:0006346","GO:0071824","protein-DNA complex organization"
"130","GO:0006346","GO:0071840","cellular component organization or biogenesis"
"131","GO:0006346","GO:0140718","facultative heterochromatin formation"
"132","GO:0006346","GO:1901576","organic substance biosynthetic process"
"133","GO:0006346","all","all"
"134","GO:0099645","GO:0008104","protein localization"
"135","GO:0099645","GO:0008150","biological_process"
"136","GO:0099645","GO:0009987","cellular process"
"137","GO:0099645","GO:0031503","protein-containing complex localization"
"138","GO:0099645","GO:0033036","macromolecule localization"
"139","GO:0099645","GO:0033365","protein localization to organelle"
"140","GO:0099645","GO:0035418","protein localization to synapse"
"141","GO:0099645","GO:0051179","localization"
"142","GO:0099645","GO:0051641","cellular localization"
"143","GO:0099645","GO:0051668","localization within membrane"
"144","GO:0099645","GO:0062237","protein localization to postsynapse"
"145","GO:0099645","GO:0065007","biological regulation"
"146","GO:0099645","GO:0065008","regulation of biological quality"
"147","GO:0099645","GO:0070727","cellular macromolecule localization"
"148","GO:0099645","GO:0072657","protein localization to membrane"
"149","GO:0099645","GO:0097120","receptor localization to synapse"
"150","GO:0099645","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels"
"151","GO:0099645","GO:0099633","protein localization to postsynaptic specialization membrane"
"152","GO:0099645","GO:1902414","protein localization to cell junction"
"153","GO:0099645","GO:1903539","protein localization to postsynaptic membrane"
"154","GO:0099645","GO:1990778","protein localization to cell periphery"
"155","GO:0099645","all","all"
"156","GO:0071300","GO:0008150","biological_process"
"157","GO:0071300","GO:0009987","cellular process"
"158","GO:0071300","GO:0010033","response to organic substance"
"159","GO:0071300","GO:0032526","response to retinoic acid"
"160","GO:0071300","GO:0033993","response to lipid"
"161","GO:0071300","GO:0042221","response to chemical"
"162","GO:0071300","GO:0050896","response to stimulus"
"163","GO:0071300","GO:0051716","cellular response to stimulus"
"164","GO:0071300","GO:0070887","cellular response to chemical stimulus"
"165","GO:0071300","GO:0071310","cellular response to organic substance"
"166","GO:0071300","GO:0071396","cellular response to lipid"
"167","GO:0071300","GO:1901700","response to oxygen-containing compound"
"168","GO:0071300","GO:1901701","cellular response to oxygen-containing compound"
"169","GO:0071300","all","all"
"170","GO:0086043","GO:0001508","action potential"
"171","GO:0086043","GO:0003008","system process"
"172","GO:0086043","GO:0003013","circulatory system process"
"173","GO:0086043","GO:0003015","heart process"
"174","GO:0086043","GO:0007154","cell communication"
"175","GO:0086043","GO:0007267","cell-cell signaling"
"176","GO:0086043","GO:0008015","blood circulation"
"177","GO:0086043","GO:0008016","regulation of heart contraction"
"178","GO:0086043","GO:0008150","biological_process"
"179","GO:0086043","GO:0009987","cellular process"
"180","GO:0086043","GO:0023052","signaling"
"181","GO:0086043","GO:0032501","multicellular organismal process"
"182","GO:0086043","GO:0042391","regulation of membrane potential"
"183","GO:0086043","GO:0044057","regulation of system process"
"184","GO:0086043","GO:0050789","regulation of biological process"
"185","GO:0086043","GO:0051239","regulation of multicellular organismal process"
"186","GO:0086043","GO:0060047","heart contraction"
"187","GO:0086043","GO:0061337","cardiac conduction"
"188","GO:0086043","GO:0065007","biological regulation"
"189","GO:0086043","GO:0065008","regulation of biological quality"
"190","GO:0086043","GO:0086001","cardiac muscle cell action potential"
"191","GO:0086043","GO:0086019","cell-cell signaling involved in cardiac conduction"
"192","GO:0086043","GO:0086028","bundle of His cell to Purkinje myocyte signaling"
"193","GO:0086043","GO:0086065","cell communication involved in cardiac conduction"
"194","GO:0086043","GO:0086069","bundle of His cell to Purkinje myocyte communication"
"195","GO:0086043","GO:1903522","regulation of blood circulation"
"196","GO:0086043","all","all"
"197","GO:0086016","GO:0001508","action potential"
"198","GO:0086016","GO:0003008","system process"
"199","GO:0086016","GO:0003013","circulatory system process"
"200","GO:0086016","GO:0003015","heart process"
"201","GO:0086016","GO:0007154","cell communication"
"202","GO:0086016","GO:0007267","cell-cell signaling"
"203","GO:0086016","GO:0008015","blood circulation"
"204","GO:0086016","GO:0008016","regulation of heart contraction"
"205","GO:0086016","GO:0008150","biological_process"
"206","GO:0086016","GO:0009987","cellular process"
"207","GO:0086016","GO:0023052","signaling"
"208","GO:0086016","GO:0032501","multicellular organismal process"
"209","GO:0086016","GO:0042391","regulation of membrane potential"
"210","GO:0086016","GO:0044057","regulation of system process"
"211","GO:0086016","GO:0050789","regulation of biological process"
"212","GO:0086016","GO:0051239","regulation of multicellular organismal process"
"213","GO:0086016","GO:0060047","heart contraction"
"214","GO:0086016","GO:0061337","cardiac conduction"
"215","GO:0086016","GO:0065007","biological regulation"
"216","GO:0086016","GO:0065008","regulation of biological quality"
"217","GO:0086016","GO:0086001","cardiac muscle cell action potential"
"218","GO:0086016","GO:0086019","cell-cell signaling involved in cardiac conduction"
"219","GO:0086016","GO:0086027","AV node cell to bundle of His cell signaling"
"220","GO:0086016","GO:0086065","cell communication involved in cardiac conduction"
"221","GO:0086016","GO:0086067","AV node cell to bundle of His cell communication"
"222","GO:0086016","GO:1903522","regulation of blood circulation"
"223","GO:0086016","all","all"
"224","GO:0099590","GO:0006810","transport"
"225","GO:0099590","GO:0006897","endocytosis"
"226","GO:0099590","GO:0006898","receptor-mediated endocytosis"
"227","GO:0099590","GO:0008150","biological_process"
"228","GO:0099590","GO:0009987","cellular process"
"229","GO:0099590","GO:0016192","vesicle-mediated transport"
"230","GO:0099590","GO:0031503","protein-containing complex localization"
"231","GO:0099590","GO:0031623","receptor internalization"
"232","GO:0099590","GO:0051179","localization"
"233","GO:0099590","GO:0051234","establishment of localization"
"234","GO:0099590","GO:0098657","import into cell"
"235","GO:0099590","all","all"
"236","GO:0007156","GO:0007155","cell adhesion"
"237","GO:0007156","GO:0008150","biological_process"
"238","GO:0007156","GO:0009987","cellular process"
"239","GO:0007156","GO:0098609","cell-cell adhesion"
"240","GO:0007156","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules"
"241","GO:0007156","all","all"
"242","GO:0048873","GO:0001894","tissue homeostasis"
"243","GO:0048873","GO:0008150","biological_process"
"244","GO:0048873","GO:0032501","multicellular organismal process"
"245","GO:0048873","GO:0042592","homeostatic process"
"246","GO:0048873","GO:0048871","multicellular organismal-level homeostasis"
"247","GO:0048873","GO:0048872","homeostasis of number of cells"
"248","GO:0048873","GO:0060249","anatomical structure homeostasis"
"249","GO:0048873","all","all"
"250","GO:0002027","GO:0003008","system process"
"251","GO:0002027","GO:0003013","circulatory system process"
"252","GO:0002027","GO:0003015","heart process"
"253","GO:0002027","GO:0008015","blood circulation"
"254","GO:0002027","GO:0008016","regulation of heart contraction"
"255","GO:0002027","GO:0008150","biological_process"
"256","GO:0002027","GO:0032501","multicellular organismal process"
"257","GO:0002027","GO:0044057","regulation of system process"
"258","GO:0002027","GO:0050789","regulation of biological process"
"259","GO:0002027","GO:0051239","regulation of multicellular organismal process"
"260","GO:0002027","GO:0060047","heart contraction"
"261","GO:0002027","GO:0065007","biological regulation"
"262","GO:0002027","GO:0065008","regulation of biological quality"
"263","GO:0002027","GO:1903522","regulation of blood circulation"
"264","GO:0002027","all","all"
"265","GO:0021954","GO:0007275","multicellular organism development"
"266","GO:0021954","GO:0007399","nervous system development"
"267","GO:0021954","GO:0007417","central nervous system development"
"268","GO:0021954","GO:0008150","biological_process"
"269","GO:0021954","GO:0009987","cellular process"
"270","GO:0021954","GO:0021953","central nervous system neuron differentiation"
"271","GO:0021954","GO:0022008","neurogenesis"
"272","GO:0021954","GO:0030154","cell differentiation"
"273","GO:0021954","GO:0030182","neuron differentiation"
"274","GO:0021954","GO:0032501","multicellular organismal process"
"275","GO:0021954","GO:0032502","developmental process"
"276","GO:0021954","GO:0048468","cell development"
"277","GO:0021954","GO:0048666","neuron development"
"278","GO:0021954","GO:0048699","generation of neurons"
"279","GO:0021954","GO:0048731","system development"
"280","GO:0021954","GO:0048856","anatomical structure development"
"281","GO:0021954","GO:0048869","cellular developmental process"
"282","GO:0021954","all","all"
"283","GO:0003416","GO:0001501","skeletal system development"
"284","GO:0003416","GO:0007275","multicellular organism development"
"285","GO:0003416","GO:0008150","biological_process"
"286","GO:0003416","GO:0032501","multicellular organismal process"
"287","GO:0003416","GO:0032502","developmental process"
"288","GO:0003416","GO:0035265","organ growth"
"289","GO:0003416","GO:0040007","growth"
"290","GO:0003416","GO:0048513","animal organ development"
"291","GO:0003416","GO:0048589","developmental growth"
"292","GO:0003416","GO:0048731","system development"
"293","GO:0003416","GO:0048856","anatomical structure development"
"294","GO:0003416","GO:0060348","bone development"
"295","GO:0003416","GO:0098868","bone growth"
"296","GO:0003416","all","all"
