GO.ID	Term	Annotated	Significant	Expected	Fisher	ensembl_gene_id	external_gene_name
GO:0060371	regulation of atrial cardiac muscle cell membrane depolarization	7	2	0.06	0.0017	ENSFCAG00000003161,ENSFCAG00000003166	SCN5A,SCN10A
GO:0046415	urate metabolic process	12	2	0.11	0.0052	ENSFCAG00000011316,ENSFCAG00000014666	SLC2A9,CARMIL1
GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization	16	2	0.15	0.0091	ENSFCAG00000011317,ENSFCAG00000003161	WDR1,SCN5A
GO:0008283	cell population proliferation	2258	29	20.64	0.0108	ENSFCAG00000000592,ENSFCAG00000033056,ENSFCAG00000026479,ENSFCAG00000031391	LARP1,BRINP1,TACC2,BRAT1
GO:0042733	embryonic digit morphogenesis	56	3	0.51	0.0145	ENSFCAG00000011137,ENSFCAG00000026754,ENSFCAG00000043446	IFT52,OSR1,GNA12
GO:0021542	dentate gyrus development	21	2	0.19	0.0155	ENSFCAG00000043254,ENSFCAG00000010758	BTG2,LMX1A
GO:0055002	striated muscle cell development	50	2	0.46	0.0181	ENSFCAG00000005354	SDC1
GO:1990823	response to leukemia inhibitory factor	87	2	0.8	0.0182	ENSFCAG00000039110	FOSL2
GO:0032259	methylation	120	4	1.1	0.0222	ENSFCAG00000031309,ENSFCAG00000006744,ENSFCAG00000024756,ENSFCAG00000003659	PRMT3,CMTR1,MRM2,DNMT3A
GO:0006346	DNA methylation-dependent heterochromatin formation	26	2	0.24	0.0233	ENSFCAG00000036566,ENSFCAG00000003659	BMI1,DNMT3A
GO:0099645	neurotransmitter receptor localization to postsynaptic specialization membrane	28	2	0.26	0.0268	ENSFCAG00000011087,ENSFCAG00000043670	CACNG3,C1QL3
GO:0071300	cellular response to retinoic acid	30	2	0.27	0.0305	ENSFCAG00000033056,ENSFCAG00000026754	BRINP1,OSR1
GO:0086043	bundle of His cell action potential	7	2	0.06	0.0358	ENSFCAG00000003161,ENSFCAG00000003166	SCN5A,SCN10A
GO:0086016	AV node cell action potential	8	2	0.07	0.0358	ENSFCAG00000003161,ENSFCAG00000003166	SCN5A,SCN10A
GO:0099590	neurotransmitter receptor internalization	24	2	0.22	0.0358	ENSFCAG00000011087	CACNG3
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	81	3	0.74	0.0380	ENSFCAG00000019323,ENSFCAG00000012315,ENSFCAG00000028198	CDH7,SDK1,NECTIN2
GO:0048873	homeostasis of number of cells within a tissue	35	2	0.32	0.0405	ENSFCAG00000033056,ENSFCAG00000039110	BRINP1,FOSL2
GO:0002027	regulation of heart rate	68	3	0.62	0.0444	ENSFCAG00000023007,ENSFCAG00000003161,ENSFCAG00000003166	EDNRB,SCN5A,SCN10A
GO:0021954	central nervous system neuron development	70	3	0.64	0.0444	ENSFCAG00000043254,ENSFCAG00000033056	BTG2,BRINP1
GO:0003416	endochondral bone growth	21	2	0.19	0.0446	ENSFCAG00000004076	EVC
