"","Ancestor","Description"
"1","GO:0003254","regulation of membrane depolarization"
"2","GO:0008150","biological_process"
"3","GO:0009987","cellular process"
"4","GO:0042391","regulation of membrane potential"
"5","GO:0050789","regulation of biological process"
"6","GO:0050794","regulation of cellular process"
"7","GO:0051899","membrane depolarization"
"8","GO:0065007","biological regulation"
"9","GO:0065008","regulation of biological quality"
"10","all","all"
"11","GO:0006725","cellular aromatic compound metabolic process"
"12","GO:0006807","nitrogen compound metabolic process"
"13","GO:0008152","metabolic process"
"14","GO:0034641","cellular nitrogen compound metabolic process"
"15","GO:0044237","cellular metabolic process"
"16","GO:0044281","small molecule metabolic process"
"17","GO:0046483","heterocycle metabolic process"
"18","GO:0071704","organic substance metabolic process"
"19","GO:0072521","purine-containing compound metabolic process"
"20","GO:1901360","organic cyclic compound metabolic process"
"21","GO:1901564","organonitrogen compound metabolic process"
"22","GO:0060306","regulation of membrane repolarization"
"23","GO:0086009","membrane repolarization"
"24","GO:0099622","cardiac muscle cell membrane repolarization"
"25","GO:0099623","regulation of cardiac muscle cell membrane repolarization"
"26","GO:0099625","ventricular cardiac muscle cell membrane repolarization"
"27","GO:0007275","multicellular organism development"
"28","GO:0009653","anatomical structure morphogenesis"
"29","GO:0009790","embryo development"
"30","GO:0030326","embryonic limb morphogenesis"
"31","GO:0032501","multicellular organismal process"
"32","GO:0032502","developmental process"
"33","GO:0035107","appendage morphogenesis"
"34","GO:0035108","limb morphogenesis"
"35","GO:0035113","embryonic appendage morphogenesis"
"36","GO:0048598","embryonic morphogenesis"
"37","GO:0048736","appendage development"
"38","GO:0048856","anatomical structure development"
"39","GO:0060173","limb development"
"40","GO:0007399","nervous system development"
"41","GO:0007417","central nervous system development"
"42","GO:0007420","brain development"
"43","GO:0021537","telencephalon development"
"44","GO:0021543","pallium development"
"45","GO:0021761","limbic system development"
"46","GO:0021766","hippocampus development"
"47","GO:0030900","forebrain development"
"48","GO:0048513","animal organ development"
"49","GO:0048731","system development"
"50","GO:0060322","head development"
"51","GO:0030154","cell differentiation"
"52","GO:0042692","muscle cell differentiation"
"53","GO:0048468","cell development"
"54","GO:0048869","cellular developmental process"
"55","GO:0051146","striated muscle cell differentiation"
"56","GO:0055001","muscle cell development"
"57","GO:0061061","muscle structure development"
"58","GO:0010033","response to organic substance"
"59","GO:0034097","response to cytokine"
"60","GO:0042221","response to chemical"
"61","GO:0050896","response to stimulus"
"62","GO:0006325","chromatin organization"
"63","GO:0006338","chromatin remodeling"
"64","GO:0009058","biosynthetic process"
"65","GO:0009059","macromolecule biosynthetic process"
"66","GO:0009889","regulation of biosynthetic process"
"67","GO:0009890","negative regulation of biosynthetic process"
"68","GO:0009892","negative regulation of metabolic process"
"69","GO:0010467","gene expression"
"70","GO:0010468","regulation of gene expression"
"71","GO:0010556","regulation of macromolecule biosynthetic process"
"72","GO:0010558","negative regulation of macromolecule biosynthetic process"
"73","GO:0010605","negative regulation of macromolecule metabolic process"
"74","GO:0010629","negative regulation of gene expression"
"75","GO:0016043","cellular component organization"
"76","GO:0019222","regulation of metabolic process"
"77","GO:0031323","regulation of cellular metabolic process"
"78","GO:0031324","negative regulation of cellular metabolic process"
"79","GO:0031326","regulation of cellular biosynthetic process"
"80","GO:0031327","negative regulation of cellular biosynthetic process"
"81","GO:0031507","heterochromatin formation"
