GO.ID	Term	Annotated	Significant	Expected	Fisher	ensembl_gene_id	external_gene_name
GO:0044788	modulation by host of viral process	38	3	0.3	0.0013	ENSFCAG00000027776,ENSFCAG00000024216	RAB29,ROCK2
GO:0060056	mammary gland involution	7	2	0.06	0.0013	ENSFCAG00000001438,ENSFCAG00000000449	CAPN1,ELF3
GO:0007420	brain development	485	11	3.87	0.0025	ENSFCAG00000012790,ENSFCAG00000008625,ENSFCAG00000032516,ENSFCAG00000041416,ENSFCAG00000001230	MACO1,CDK5RAP2,IER3IP1,IRS2,NODAL
GO:0070885	negative regulation of calcineurin-NFAT signaling cascade	12	2	0.1	0.0040	ENSFCAG00000000053,ENSFCAG00000041249	MTOR,RCAN1
GO:0042110	T cell activation	409	6	3.27	0.0108	ENSFCAG00000027776,ENSFCAG00000033896	RAB29,TREML2
GO:0031424	keratinization	20	2	0.16	0.0109	ENSFCAG00000042673,ENSFCAG00000023572	,KRT80
GO:0031116	positive regulation of microtubule polymerization	21	2	0.17	0.0120	ENSFCAG00000038054,ENSFCAG00000008625	ARL2,CDK5RAP2
GO:0021936	regulation of cerebellar granule cell precursor proliferation	7	2	0.06	0.0158	ENSFCAG00000045761	SKOR2
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	67	3	0.54	0.0164	ENSFCAG00000012418,ENSFCAG00000000053,ENSFCAG00000002774	CSPG4,MTOR,TREM2
GO:0071763	nuclear membrane organization	28	2	0.22	0.0209	ENSFCAG00000008977,ENSFCAG00000004760	TOR1B,TOR1A
GO:0048741	skeletal muscle fiber development	29	2	0.23	0.0223	ENSFCAG00000012793,ENSFCAG00000041249	SELENON,RCAN1
GO:0086091	regulation of heart rate by cardiac conduction	31	2	0.25	0.0253	ENSFCAG00000000425,ENSFCAG00000006759	SCN3B,KCNE1
GO:0035176	social behavior	32	2	0.26	0.0268	ENSFCAG00000002774,ENSFCAG00000036699	TREM2,EIF4EBP2
GO:0042987	amyloid precursor protein catabolic process	41	2	0.33	0.0314	ENSFCAG00000003989	DHCR24
GO:0050714	positive regulation of protein secretion	88	3	0.7	0.0314	ENSFCAG00000032516,ENSFCAG00000002774	IER3IP1,TREM2
GO:0051496	positive regulation of stress fiber assembly	38	2	0.3	0.0369	ENSFCAG00000000053,ENSFCAG00000024216	MTOR,ROCK2
GO:0031663	lipopolysaccharide-mediated signaling pathway	39	2	0.31	0.0387	ENSFCAG00000004810,ENSFCAG00000004811	BPI,LBP
GO:0008286	insulin receptor signaling pathway	90	3	0.72	0.0420	ENSFCAG00000041416,ENSFCAG00000036699	IRS2,EIF4EBP2
GO:0050829	defense response to Gram-negative bacterium	41	2	0.33	0.0424	ENSFCAG00000004810,ENSFCAG00000004811	BPI,LBP
GO:0045109	intermediate filament organization	42	2	0.34	0.0443	ENSFCAG00000042673,ENSFCAG00000023572	,KRT80
GO:0006914	autophagy	390	4	3.12	0.0448	ENSFCAG00000006253,ENSFCAG00000006781	VPS51,ATG2B
GO:0021930	cerebellar granule cell precursor proliferation	13	3	0.1	0.0462	ENSFCAG00000008124	RERE
