"","Ancestor","Description"
"1","GO:0008150","biological_process"
"2","GO:0044403","biological process involved in symbiotic interaction"
"3","GO:0044419","biological process involved in interspecies interaction between organisms"
"4","GO:0051702","biological process involved in interaction with symbiont"
"5","GO:0051851","modulation by host of symbiont process"
"6","all","all"
"7","GO:0009653","anatomical structure morphogenesis"
"8","GO:0009887","animal organ morphogenesis"
"9","GO:0022612","gland morphogenesis"
"10","GO:0030879","mammary gland development"
"11","GO:0032501","multicellular organismal process"
"12","GO:0032502","developmental process"
"13","GO:0048513","animal organ development"
"14","GO:0048732","gland development"
"15","GO:0048771","tissue remodeling"
"16","GO:0048856","anatomical structure development"
"17","GO:0060443","mammary gland morphogenesis"
"18","GO:0007275","multicellular organism development"
"19","GO:0007399","nervous system development"
"20","GO:0007417","central nervous system development"
"21","GO:0048731","system development"
"22","GO:0060322","head development"
"23","GO:0007154","cell communication"
"24","GO:0007165","signal transduction"
"25","GO:0009966","regulation of signal transduction"
"26","GO:0009968","negative regulation of signal transduction"
"27","GO:0009987","cellular process"
"28","GO:0010646","regulation of cell communication"
"29","GO:0010648","negative regulation of cell communication"
"30","GO:0019722","calcium-mediated signaling"
"31","GO:0019932","second-messenger-mediated signaling"
"32","GO:0023051","regulation of signaling"
"33","GO:0023052","signaling"
"34","GO:0023057","negative regulation of signaling"
"35","GO:0033173","calcineurin-NFAT signaling cascade"
"36","GO:0035556","intracellular signal transduction"
"37","GO:0048519","negative regulation of biological process"
"38","GO:0048523","negative regulation of cellular process"
"39","GO:0048583","regulation of response to stimulus"
"40","GO:0048585","negative regulation of response to stimulus"
"41","GO:0050789","regulation of biological process"
"42","GO:0050794","regulation of cellular process"
"43","GO:0050848","regulation of calcium-mediated signaling"
"44","GO:0050849","negative regulation of calcium-mediated signaling"
"45","GO:0050896","response to stimulus"
"46","GO:0051716","cellular response to stimulus"
"47","GO:0065007","biological regulation"
"48","GO:0070884","regulation of calcineurin-NFAT signaling cascade"
"49","GO:0097720","calcineurin-mediated signaling"
"50","GO:0106056","regulation of calcineurin-mediated signaling"
"51","GO:0106057","negative regulation of calcineurin-mediated signaling"
"52","GO:1902531","regulation of intracellular signal transduction"
"53","GO:1902532","negative regulation of intracellular signal transduction"
"54","GO:0001775","cell activation"
"55","GO:0002376","immune system process"
"56","GO:0045321","leukocyte activation"
"57","GO:0046649","lymphocyte activation"
"58","GO:0008544","epidermis development"
"59","GO:0009888","tissue development"
"60","GO:0009913","epidermal cell differentiation"
"61","GO:0030154","cell differentiation"
"62","GO:0030216","keratinocyte differentiation"
"63","GO:0030855","epithelial cell differentiation"
"64","GO:0043588","skin development"
"65","GO:0048869","cellular developmental process"
"66","GO:0060429","epithelium development"
"67","GO:0000226","microtubule cytoskeleton organization"
"68","GO:0006996","organelle organization"
"69","GO:0007010","cytoskeleton organization"
"70","GO:0007017","microtubule-based process"
"71","GO:0010638","positive regulation of organelle organization"
"72","GO:0016043","cellular component organization"
"73","GO:0022607","cellular component assembly"
"74","GO:0031109","microtubule polymerization or depolymerization"
"75","GO:0031110","regulation of microtubule polymerization or depolymerization"
"76","GO:0031112","positive regulation of microtubule polymerization or depolymerization"
"77","GO:0031113","regulation of microtubule polymerization"
"78","GO:0031334","positive regulation of protein-containing complex assembly"
"79","GO:0032271","regulation of protein polymerization"
"80","GO:0032273","positive regulation of protein polymerization"
"81","GO:0032886","regulation of microtubule-based process"
"82","GO:0033043","regulation of organelle organization"
"83","GO:0043254","regulation of protein-containing complex assembly"
"84","GO:0043933","protein-containing complex organization"
"85","GO:0044085","cellular component biogenesis"
"86","GO:0044087","regulation of cellular component biogenesis"
"87","GO:0044089","positive regulation of cellular component biogenesis"
"88","GO:0046785","microtubule polymerization"
"89","GO:0048518","positive regulation of biological process"
"90","GO:0048522","positive regulation of cellular process"
"91","GO:0051128","regulation of cellular component organization"
"92","GO:0051130","positive regulation of cellular component organization"
"93","GO:0051258","protein polymerization"
"94","GO:0051493","regulation of cytoskeleton organization"
"95","GO:0051495","positive regulation of cytoskeleton organization"
"96","GO:0065003","protein-containing complex assembly"
"97","GO:0070507","regulation of microtubule cytoskeleton organization"
"98","GO:0071840","cellular component organization or biogenesis"
"99","GO:0097435","supramolecular fiber organization"
"100","GO:1902903","regulation of supramolecular fiber organization"
"101","GO:1902905","positive regulation of supramolecular fiber organization"
"102","GO:0008283","cell population proliferation"
"103","GO:0021534","cell proliferation in hindbrain"
"104","GO:0021924","cell proliferation in external granule layer"
"105","GO:0030902","hindbrain development"
"106","GO:0042127","regulation of cell population proliferation"
"107","GO:0061351","neural precursor cell proliferation"
"108","GO:2000177","regulation of neural precursor cell proliferation"
"109","GO:0001932","regulation of protein phosphorylation"
"110","GO:0001934","positive regulation of protein phosphorylation"
"111","GO:0006468","protein phosphorylation"
"112","GO:0006793","phosphorus metabolic process"
"113","GO:0006796","phosphate-containing compound metabolic process"
"114","GO:0006807","nitrogen compound metabolic process"
"115","GO:0008152","metabolic process"
"116","GO:0009893","positive regulation of metabolic process"
"117","GO:0010562","positive regulation of phosphorus metabolic process"
"118","GO:0010604","positive regulation of macromolecule metabolic process"
"119","GO:0016310","phosphorylation"
"120","GO:0018108","peptidyl-tyrosine phosphorylation"
"121","GO:0018193","peptidyl-amino acid modification"
"122","GO:0018212","peptidyl-tyrosine modification"
"123","GO:0019220","regulation of phosphate metabolic process"
"124","GO:0019222","regulation of metabolic process"
"125","GO:0019538","protein metabolic process"
"126","GO:0031323","regulation of cellular metabolic process"
"127","GO:0031325","positive regulation of cellular metabolic process"
"128","GO:0031399","regulation of protein modification process"
"129","GO:0031401","positive regulation of protein modification process"
"130","GO:0036211","protein modification process"
"131","GO:0042325","regulation of phosphorylation"
"132","GO:0042327","positive regulation of phosphorylation"
"133","GO:0043170","macromolecule metabolic process"
"134","GO:0043412","macromolecule modification"
"135","GO:0044237","cellular metabolic process"
"136","GO:0044238","primary metabolic process"
"137","GO:0045937","positive regulation of phosphate metabolic process"
"138","GO:0050730","regulation of peptidyl-tyrosine phosphorylation"
"139","GO:0051171","regulation of nitrogen compound metabolic process"
"140","GO:0051173","positive regulation of nitrogen compound metabolic process"
"141","GO:0051174","regulation of phosphorus metabolic process"
"142","GO:0051246","regulation of protein metabolic process"
"143","GO:0051247","positive regulation of protein metabolic process"
"144","GO:0060255","regulation of macromolecule metabolic process"
"145","GO:0071704","organic substance metabolic process"
"146","GO:0080090","regulation of primary metabolic process"
"147","GO:1901564","organonitrogen compound metabolic process"
"148","GO:0006997","nucleus organization"
"149","GO:0006998","nuclear envelope organization"
"150","GO:0010256","endomembrane system organization"
"151","GO:0061024","membrane organization"
"152","GO:0007517","muscle organ development"
"153","GO:0007519","skeletal muscle tissue development"
"154","GO:0014902","myotube differentiation"
"155","GO:0014904","myotube cell development"
"156","GO:0042692","muscle cell differentiation"
"157","GO:0048468","cell development"
"158","GO:0051146","striated muscle cell differentiation"
"159","GO:0055001","muscle cell development"
"160","GO:0060537","muscle tissue development"
"161","GO:0060538","skeletal muscle organ development"
"162","GO:0061061","muscle structure development"
"163","GO:0002027","regulation of heart rate"
"164","GO:0003008","system process"
"165","GO:0003013","circulatory system process"
"166","GO:0003015","heart process"
"167","GO:0008015","blood circulation"
"168","GO:0008016","regulation of heart contraction"
"169","GO:0044057","regulation of system process"
"170","GO:0051239","regulation of multicellular organismal process"
"171","GO:0060047","heart contraction"
"172","GO:0061337","cardiac conduction"
"173","GO:0065008","regulation of biological quality"
"174","GO:1903522","regulation of blood circulation"
"175","GO:0007610","behavior"
"176","GO:0051703","biological process involved in intraspecies interaction between organisms"
"177","GO:0042982","amyloid precursor protein metabolic process"
"178","GO:0006810","transport"
"179","GO:0008104","protein localization"
"180","GO:0009306","protein secretion"
"181","GO:0015031","protein transport"
"182","GO:0032879","regulation of localization"
"183","GO:0032880","regulation of protein localization"
"184","GO:0032940","secretion by cell"
"185","GO:0033036","macromolecule localization"
"186","GO:0035592","establishment of protein localization to extracellular region"
"187","GO:0045184","establishment of protein localization"
"188","GO:0046903","secretion"
"189","GO:0050708","regulation of protein secretion"
"190","GO:0051046","regulation of secretion"
"191","GO:0051047","positive regulation of secretion"
"192","GO:0051049","regulation of transport"
"193","GO:0051050","positive regulation of transport"
"194","GO:0051179","localization"
"195","GO:0051222","positive regulation of protein transport"
"196","GO:0051223","regulation of protein transport"
"197","GO:0051234","establishment of localization"
"198","GO:0051641","cellular localization"
"199","GO:0060341","regulation of cellular localization"
"200","GO:0070201","regulation of establishment of protein localization"
"201","GO:0070727","cellular macromolecule localization"
"202","GO:0071692","protein localization to extracellular region"
"203","GO:0071702","organic substance transport"
"204","GO:0071705","nitrogen compound transport"
"205","GO:0140352","export from cell"
"206","GO:1903530","regulation of secretion by cell"
"207","GO:1903532","positive regulation of secretion by cell"
"208","GO:1903829","positive regulation of protein localization"
"209","GO:1904951","positive regulation of establishment of protein localization"
"210","GO:0007015","actin filament organization"
"211","GO:0030029","actin filament-based process"
"212","GO:0030036","actin cytoskeleton organization"
"213","GO:0030038","contractile actin filament bundle assembly"
"214","GO:0031032","actomyosin structure organization"
"215","GO:0032231","regulation of actin filament bundle assembly"
"216","GO:0032233","positive regulation of actin filament bundle assembly"
"217","GO:0032956","regulation of actin cytoskeleton organization"
"218","GO:0032970","regulation of actin filament-based process"
"219","GO:0043149","stress fiber assembly"
"220","GO:0051017","actin filament bundle assembly"
"221","GO:0051492","regulation of stress fiber assembly"
"222","GO:0061572","actin filament bundle organization"
"223","GO:0110020","regulation of actomyosin structure organization"
"224","GO:0110053","regulation of actin filament organization"
"225","GO:0002237","response to molecule of bacterial origin"
"226","GO:0007166","cell surface receptor signaling pathway"
"227","GO:0009605","response to external stimulus"
"228","GO:0009607","response to biotic stimulus"
"229","GO:0009617","response to bacterium"
"230","GO:0010033","response to organic substance"
"231","GO:0032496","response to lipopolysaccharide"
"232","GO:0033993","response to lipid"
"233","GO:0042221","response to chemical"
"234","GO:0043207","response to external biotic stimulus"
"235","GO:0051707","response to other organism"
