"","GO.ID","Ancestor","Description"
"1","GO:0010085","GO:0003002","regionalization"
"2","GO:0010085","GO:0007275","multicellular organism development"
"3","GO:0010085","GO:0007389","pattern specification process"
"4","GO:0010085","GO:0008150","biological_process"
"5","GO:0010085","GO:0009798","axis specification"
"6","GO:0010085","GO:0009946","proximal/distal axis specification"
"7","GO:0010085","GO:0009954","proximal/distal pattern formation"
"8","GO:0010085","GO:0032501","multicellular organismal process"
"9","GO:0010085","GO:0032502","developmental process"
"10","GO:0010085","GO:0048856","anatomical structure development"
"11","GO:0010085","GO:0065001","specification of axis polarity"
"12","GO:0010085","all","all"
"13","GO:0002092","GO:0002090","regulation of receptor internalization"
"14","GO:0002092","GO:0006810","transport"
"15","GO:0002092","GO:0006897","endocytosis"
"16","GO:0002092","GO:0006898","receptor-mediated endocytosis"
"17","GO:0002092","GO:0008150","biological_process"
"18","GO:0002092","GO:0009987","cellular process"
"19","GO:0002092","GO:0016043","cellular component organization"
"20","GO:0002092","GO:0016192","vesicle-mediated transport"
"21","GO:0002092","GO:0030100","regulation of endocytosis"
"22","GO:0002092","GO:0031623","receptor internalization"
"23","GO:0002092","GO:0032879","regulation of localization"
"24","GO:0002092","GO:0045807","positive regulation of endocytosis"
"25","GO:0002092","GO:0048259","regulation of receptor-mediated endocytosis"
"26","GO:0002092","GO:0048260","positive regulation of receptor-mediated endocytosis"
"27","GO:0002092","GO:0048518","positive regulation of biological process"
"28","GO:0002092","GO:0048522","positive regulation of cellular process"
"29","GO:0002092","GO:0050789","regulation of biological process"
"30","GO:0002092","GO:0050794","regulation of cellular process"
"31","GO:0002092","GO:0051049","regulation of transport"
"32","GO:0002092","GO:0051050","positive regulation of transport"
"33","GO:0002092","GO:0051128","regulation of cellular component organization"
"34","GO:0002092","GO:0051130","positive regulation of cellular component organization"
"35","GO:0002092","GO:0051179","localization"
"36","GO:0002092","GO:0051234","establishment of localization"
"37","GO:0002092","GO:0060627","regulation of vesicle-mediated transport"
"38","GO:0002092","GO:0065007","biological regulation"
"39","GO:0002092","GO:0071840","cellular component organization or biogenesis"
"40","GO:0002092","GO:0098657","import into cell"
"41","GO:0002092","all","all"
"42","GO:0009117","GO:0006725","cellular aromatic compound metabolic process"
"43","GO:0009117","GO:0006753","nucleoside phosphate metabolic process"
"44","GO:0009117","GO:0006793","phosphorus metabolic process"
"45","GO:0009117","GO:0006796","phosphate-containing compound metabolic process"
"46","GO:0009117","GO:0006807","nitrogen compound metabolic process"
"47","GO:0009117","GO:0008150","biological_process"
"48","GO:0009117","GO:0008152","metabolic process"
"49","GO:0009117","GO:0009987","cellular process"
"50","GO:0009117","GO:0019637","organophosphate metabolic process"
"51","GO:0009117","GO:0034641","cellular nitrogen compound metabolic process"
"52","GO:0009117","GO:0044237","cellular metabolic process"
"53","GO:0009117","GO:0044238","primary metabolic process"
"54","GO:0009117","GO:0044281","small molecule metabolic process"
"55","GO:0009117","GO:0046483","heterocycle metabolic process"
"56","GO:0009117","GO:0055086","nucleobase-containing small molecule metabolic process"
"57","GO:0009117","GO:0071704","organic substance metabolic process"
"58","GO:0009117","GO:1901360","organic cyclic compound metabolic process"
"59","GO:0009117","all","all"
"60","GO:1901844","GO:0003008","system process"
"61","GO:1901844","GO:0003013","circulatory system process"
"62","GO:1901844","GO:0003015","heart process"
"63","GO:1901844","GO:0007154","cell communication"
"64","GO:1901844","GO:0008015","blood circulation"
"65","GO:1901844","GO:0008016","regulation of heart contraction"
"66","GO:1901844","GO:0008150","biological_process"
"67","GO:1901844","GO:0009987","cellular process"
"68","GO:1901844","GO:0010644","cell communication by electrical coupling"
"69","GO:1901844","GO:0010646","regulation of cell communication"
"70","GO:1901844","GO:0010649","regulation of cell communication by electrical coupling"
"71","GO:1901844","GO:0032501","multicellular organismal process"
"72","GO:1901844","GO:0044057","regulation of system process"
"73","GO:1901844","GO:0050789","regulation of biological process"
"74","GO:1901844","GO:0050794","regulation of cellular process"
"75","GO:1901844","GO:0051239","regulation of multicellular organismal process"
"76","GO:1901844","GO:0060047","heart contraction"
"77","GO:1901844","GO:0061337","cardiac conduction"
"78","GO:1901844","GO:0065007","biological regulation"
"79","GO:1901844","GO:0086064","cell communication by electrical coupling involved in cardiac conduction"
"80","GO:1901844","GO:0086065","cell communication involved in cardiac conduction"
"81","GO:1901844","GO:1903522","regulation of blood circulation"
"82","GO:1901844","all","all"
"83","GO:0031145","GO:0006508","proteolysis"
"84","GO:0031145","GO:0006511","ubiquitin-dependent protein catabolic process"
"85","GO:0031145","GO:0006807","nitrogen compound metabolic process"
"86","GO:0031145","GO:0008150","biological_process"
"87","GO:0031145","GO:0008152","metabolic process"
"88","GO:0031145","GO:0009056","catabolic process"
"89","GO:0031145","GO:0009057","macromolecule catabolic process"
"90","GO:0031145","GO:0010498","proteasomal protein catabolic process"
"91","GO:0031145","GO:0019538","protein metabolic process"
"92","GO:0031145","GO:0019941","modification-dependent protein catabolic process"
"93","GO:0031145","GO:0030163","protein catabolic process"
"94","GO:0031145","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process"
"95","GO:0031145","GO:0043170","macromolecule metabolic process"
"96","GO:0031145","GO:0043632","modification-dependent macromolecule catabolic process"
"97","GO:0031145","GO:0044238","primary metabolic process"
"98","GO:0031145","GO:0051603","proteolysis involved in protein catabolic process"
"99","GO:0031145","GO:0071704","organic substance metabolic process"
"100","GO:0031145","GO:1901564","organonitrogen compound metabolic process"
"101","GO:0031145","GO:1901565","organonitrogen compound catabolic process"
"102","GO:0031145","GO:1901575","organic substance catabolic process"
"103","GO:0031145","all","all"
"104","GO:0006012","GO:0005975","carbohydrate metabolic process"
"105","GO:0006012","GO:0005996","monosaccharide metabolic process"
"106","GO:0006012","GO:0008150","biological_process"
"107","GO:0006012","GO:0008152","metabolic process"
"108","GO:0006012","GO:0019318","hexose metabolic process"
"109","GO:0006012","GO:0044238","primary metabolic process"
"110","GO:0006012","GO:0044281","small molecule metabolic process"
