GO.ID	Term	Annotated	Significant	Expected	Fisher	ensembl_gene_id	external_gene_name
GO:0010085	polarity specification of proximal/distal axis	2	2	0.03	0.00027	ENSFCAG00000001707,ENSFCAG00000001230	WNT8A,NODAL
GO:0002092	positive regulation of receptor internalization	18	3	0.3	0.00300	ENSFCAG00000030754,ENSFCAG00000045651,ENSFCAG00000036791	MAGI2,ANGPT1,WNT3A
GO:0009117	nucleotide metabolic process	326	9	5.37	0.00382	ENSFCAG00000033878,ENSFCAG00000007537	NUDT16,ACP3
GO:1901844	regulation of cell communication by electrical coupling involved in cardiac conduction	6	2	0.1	0.00388	ENSFCAG00000034785,ENSFCAG00000027730	CAV1,PDE4D
GO:0031145	anaphase-promoting complex-dependent catabolic process	21	3	0.35	0.00472	ENSFCAG00000001711,ENSFCAG00000027305,ENSFCAG00000014600	CDC23,ANAPC1,CDC16
GO:0006012	galactose metabolic process	7	2	0.12	0.00538	ENSFCAG00000006030,ENSFCAG00000031666	GALK2,B4GALT1
GO:0051965	positive regulation of synapse assembly	45	4	0.74	0.00631	ENSFCAG00000023738,ENSFCAG00000002654,ENSFCAG00000037704,ENSFCAG00000024457	GRID2,ADGRB3,EFNA5,PTPRD
GO:0042532	negative regulation of tyrosine phosphorylation of STAT protein	8	2	0.13	0.00709	ENSFCAG00000034785,ENSFCAG00000007032	CAV1,GGNBP2
GO:0051899	membrane depolarization	59	4	0.97	0.00864	ENSFCAG00000034785,ENSFCAG00000010080,ENSFCAG00000022358	CAV1,CHRNB3,CHRNA6
GO:0071560	cellular response to transforming growth factor beta stimulus	178	4	2.93	0.00884	ENSFCAG00000034785,ENSFCAG00000000972,ENSFCAG00000014785	CAV1,PDE3A,COL4A2
GO:0006734	NADH metabolic process	9	2	0.15	0.00902	ENSFCAG00000001112,ENSFCAG00000031619	VCP,ME1
GO:1905719	protein localization to perinuclear region of cytoplasm	9	2	0.15	0.00902	ENSFCAG00000014700,ENSFCAG00000025031	SQSTM1,HOOK3
GO:0031397	negative regulation of protein ubiquitination	51	4	0.84	0.00981	ENSFCAG00000034785,ENSFCAG00000005102,ENSFCAG00000014700,ENSFCAG00000008729	CAV1,PRKCE,SQSTM1,DNAJA1
GO:0033138	positive regulation of peptidyl-serine phosphorylation	52	4	0.86	0.01049	ENSFCAG00000034785,ENSFCAG00000026363,ENSFCAG00000045651,ENSFCAG00000036791	CAV1,FNIP1,ANGPT1,WNT3A
GO:0032743	positive regulation of interleukin-2 production	28	3	0.46	0.01068	ENSFCAG00000027730,ENSFCAG00000010592,ENSFCAG00000001123	PDE4D,SPTBN1,STOML2
GO:0038063	collagen-activated tyrosine kinase receptor signaling pathway	10	2	0.16	0.01116	ENSFCAG00000014785,ENSFCAG00000014784	COL4A2,COL4A1
GO:0010831	positive regulation of myotube differentiation	10	2	0.16	0.01116	ENSFCAG00000014241,ENSFCAG00000014693	ATP11A,MAML1
GO:0106072	negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway	10	2	0.16	0.01116	ENSFCAG00000027730,ENSFCAG00000000972	PDE4D,PDE3A
GO:0070979	protein K11-linked ubiquitination	30	3	0.49	0.01293	ENSFCAG00000001711,ENSFCAG00000027305,ENSFCAG00000014600	CDC23,ANAPC1,CDC16
GO:0099151	regulation of postsynaptic density assembly	11	2	0.18	0.01349	ENSFCAG00000023738,ENSFCAG00000024457	GRID2,PTPRD
GO:0030521	androgen receptor signaling pathway	33	3	0.54	0.01592	ENSFCAG00000008729,ENSFCAG00000027111	DNAJA1,UBE3A
GO:0007271	synaptic transmission, cholinergic	12	2	0.2	0.01601	ENSFCAG00000010080,ENSFCAG00000022358	CHRNB3,CHRNA6
GO:0006163	purine nucleotide metabolic process	276	7	4.55	0.01637	ENSFCAG00000033312,ENSFCAG00000025872	FHIT,GUK1
GO:0010876	lipid localization	340	8	5.6	0.01638	ENSFCAG00000001123	STOML2
GO:1903748	negative regulation of establishment of protein localization to mitochondrion	4	2	0.07	0.01641	ENSFCAG00000008729	DNAJA1
GO:0043116	negative regulation of vascular permeability	13	2	0.21	0.01872	ENSFCAG00000000972,ENSFCAG00000045651	PDE3A,ANGPT1
GO:0032570	response to progesterone	13	2	0.21	0.01872	ENSFCAG00000034785,ENSFCAG00000027111	CAV1,UBE3A
GO:0006487	protein N-linked glycosylation	50	4	0.82	0.01946	ENSFCAG00000015759,ENSFCAG00000031666,ENSFCAG00000014697,ENSFCAG00000003297	MGAT5,B4GALT1,MGAT4B,FUT9
GO:0030182	neuron differentiation	948	20	15.62	0.02067	ENSFCAG00000009534,ENSFCAG00000041391,ENSFCAG00000041932,ENSFCAG00000000154,ENSFCAG00000024457,ENSFCAG00000003297	MET,NIF3L1,RUNX2,HERC2,PTPRD,FUT9
GO:0050918	positive chemotaxis	36	3	0.59	0.02115	ENSFCAG00000031568,ENSFCAG00000009534,ENSFCAG00000045651	FGF7,MET,ANGPT1
GO:0071218	cellular response to misfolded protein	14	2	0.23	0.02160	ENSFCAG00000034785,ENSFCAG00000001112	CAV1,VCP
GO:0042953	lipoprotein transport	14	2	0.23	0.02160	ENSFCAG00000029668,ENSFCAG00000027034	MTTP,ZDHHC17
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	20	3	0.33	0.02767	ENSFCAG00000032848,ENSFCAG00000046291	SAYSD1,FBXL17
