"","sample","depth_mean","depth_sd","depth_mode","minDepth","maxDepth","PercentLeft"
"1","c_lc_ak_0015",13.5321097931993,4.48651396097904,14,3,25.2,98.0968924695883
"2","c_lc_ak_0016",18.4141291360236,5.26625309295447,19,3,34.2,98.9766756331976
"3","c_lc_al_0006",15.1730110176503,4.60009527254868,16,3,28.8,98.7555567381484
"4","c_lc_al_0008",20.2454622893312,5.83093869589671,21,3,37.8,98.8806878471444
"5","c_lc_bc_0004",22.31365388951,7.75085660075922,21,3,37.8,95.6814126007746
"6","c_lc_bc_0005",16.3840877816304,5.13657249413737,17,3,30.6,98.5344558217069
"7","c_lc_la_0018",19.4974463185744,5.69599665594692,20,3,36,98.8391572635553
"8","c_lc_ma_0010",13.878153223043,4.52165016556602,14,3,25.2,98.0800824714688
"9","c_lc_ma_0014",22.6638573893695,6.25643138301754,24,3,43.2,99.0564646937902
"10","c_lc_on_0011",14.1410416373765,4.3051104440396,15,3,27,98.6489615736028
"11","c_lc_on_0019",13.1963069782527,4.28429092804016,14,3,25.2,98.2355075342951
"12","c_lc_on_0020",15.7304273191415,7.23581176457575,14,3,25.2,89.2648115859901
"13","c_lc_qu_0012",13.6168728153744,4.17840499097836,14,3,25.2,98.5914120506292
"14","c_lc_qu_0013",12.1088980443949,5.24545868766532,11,3,19.8,88.5078942268174
"15","c_lc_qu_0017",13.3658080323385,4.19225907340853,14,3,25.2,98.5658105133863
"16","c_lc_yu_0007",13.3120077681968,10.4908459009609,2,3,3.6,0
"17","c_lc_yu_0009",14.7437789523002,4.69661549872612,16,3,28.8,98.5109937387701
"18","c_lc_zz_0001",21.861492986725,5.67618322022144,22,3,39.6,99.0963592240864
"19","c_lc_zz_0003",27.3316815787231,10.0714211710402,29,3,52.2,98.1932757850089
"20","c_ll_ba_0224",31.6501219129382,7.71765136970387,32,3,57.6,99.085985567493
"21","c_ll_ba_0226",14.9406774267435,8.65364125425175,15,3,27,95.4205250256825
"22","c_ll_ba_0227",16.4961977042756,5.11555227562542,17,3,30.6,98.4943815053344
"23","c_ll_ba_0228",26.7032359336273,7.28560395380953,27,3,48.6,98.9855570653591
"24","c_ll_ba_0229",20.9831204246691,6.30422859666816,22,3,39.6,98.8385819481116
"25","c_ll_ba_0230",19.8626436176123,6.1221595211982,20,3,36,98.2985944684139
"26","c_ll_ba_0233",20.9749806100717,6.36820249583008,22,3,39.6,98.7553050376418
"27","c_ll_ca_0240",35.4651055002673,12.0624098282992,40,3,72,98.8887063061404
"28","c_ll_ca_0241",21.9375320693413,5.95432199411796,22,3,39.6,98.8547986521797
"29","c_ll_ca_0242",22.1476266619874,6.02851297146028,23,3,41.4,98.954418116971
"30","c_ll_ca_0243",26.7274968061004,7.22403634908014,28,3,50.4,99.0746051088731
"31","c_ll_ca_0244",19.065387117177,6.61280996416737,18,3,32.4,96.0002092709926
