chr	start	end	nSNPs	pos	lc_nhaps	lc_uhaps	lc_h12	lc_h2h1	lc_m	lc_A	lc_L
A1	35422	125384	101	80403.5	2	2	1	0.5	4	11621.5	3.81887
A1	38722	127649	101	83186	4	4	0.375	0.75	4	10107.7	3.91541
A1	125384	143327	101	134356	12	10	0.166667	0.75	0	0	0
A1	127649	238176	101	182913	12	12	0.0972222	0.916667	0	0	0
A1	143327	430790	101	287059	22	22	0.0495868	0.954545	0	0	0
A1	238176	659149	101	448663	2	2	1	0.5	2	4375.03	3.06236
A1	659149	933209	101	796179.5	6	6	0.222222	0.833333	6	3309.46	1.57558
A1	825942	1002729	101	914336	20	18	0.08	0.833333	0	0	0
A1	933209	1114931	101	1024070.5	26	25	0.0473373	0.857143	0	0	0
A1	1002729	1182224	101	1092477	24	22	0.0625	0.857143	0	0	0
A1	1114931	1243799	101	1179365.5	4	4	0.375	0.75	4	2177.32	2.49187
A1	1182224	1340912	101	1261568.5	2	2	1	0.5	2	23351.9	3.13271
A1	1243799	1369189	101	1306494.5	4	4	0.375	0.75	4	1.76799e+08	6.74587
A1	1340912	1452401	101	1396657	4	4	0.375	0.75	4	1.76799e+08	6.22778
A1	1369189	1528296	101	1448743	8	8	0.15625	0.875	5	1.76799e+08	4.49174
A1	1528296	1739730	101	1634013.5	2	2	1	0.5	2	2177.32	3.06236
A1	1635284	1777492	101	1706388.5	8	8	0.15625	0.875	7	1893.69	0.875834
A1	1739730	1811893	101	1775812	36	33	0.0432099	0.666667	1	1647.02	2.63642
A1	1777492	1898637	101	1838065	36	36	0.029321	0.972222	0	0	0
A1	1811893	1995505	101	1903699.5	18	18	0.0617284	0.944444	0	0	0
A1	1898637	2056597	101	1977617.5	16	16	0.0703125	0.9375	0	0	0
A1	1995505	2157634	101	2076570	30	30	0.0355556	0.966667	0	0	0
A1	2056597	2252596	101	2154597	22	22	0.0495868	0.954545	0	0	0
A1	2157634	2381632	101	2269633.5	18	18	0.0617284	0.944444	0	0	0
A1	2252596	2471705	101	2362151	24	24	0.0451389	0.958333	0	0	0
A1	2381632	2547560	101	2464596.5	36	35	0.0324074	0.894737	0	0	0
A1	2471705	2623899	101	2547802.5	22	21	0.0578512	0.833333	0	0	0
A1	2623899	2756985	101	2690442.5	4	4	0.375	0.75	4	1647.02	2.49187
A1	2724364	2773073	101	2748719	18	17	0.0740741	0.8	0	0	0
A1	2756985	2786199	101	2771592.5	20	16	0.105	0.7	3	712.897	0.135759
A1	2773073	2817269	101	2795171.5	16	16	0.0703125	0.9375	0	0	0
A1	2786199	2872108	101	2829154	16	16	0.0703125	0.9375	0	0	0
A1	2817269	2921828	101	2869549	36	35	0.0324074	0.894737	0	0	0
A1	2872108	2928400	101	2900254.5	8	8	0.15625	0.875	7	819.669	0.875834
A1	2921828	2936163	101	2928996	10	8	0.22	0.714286	7	539.266	1.78825
A1	2928400	2967746	101	2948073.5	36	35	0.0324074	0.894737	0	0	0
A1	2936163	2995523	101	2965843.5	36	35	0.0324074	0.894737	0	0	0
A1	2967746	3038850	101	3003298.5	6	6	0.222222	0.833333	6	1083.58	1.57558
A1	2995523	3110520	101	3053022	2	2	1	0.5	2	1432.47	3.06236
A1	3038850	3178681	101	3108766	16	16	0.0703125	0.9375	0	0	0
A1	3110520	3208449	101	3159485	30	27	0.0555556	0.619048	1	1432.47	2.19701
A1	3178681	3279937	101	3229309.5	32	32	0.0332031	0.96875	0	0	0
A1	3208449	3315040	101	3261745	16	16	0.0703125	0.9375	0	0	0
A1	3279937	3338144	101	3309041	10	10	0.12	0.9	0	0	0
A1	3315040	3376763	101	3345902	22	21	0.0578512	0.833333	0	0	0
A1	3338144	3394646	101	3366395.5	8	8	0.15625	0.875	7	539.266	0.875834
A1	3376763	3425606	101	3401185	4	4	0.375	0.75	4	1083.58	2.49187
A1	3394646	3519200	101	3456923.5	2	2	1	0.5	2	620.033	3.06236
A1	3425606	3535782	101	3480694.5	10	10	0.12	0.9	3	1.76799e+08	2.62531
A1	3519200	3559292	101	3539246.5	16	11	0.226562	0.342105	2	13362.1	2.04419
A1	3535782	3582653	101	3559218	18	15	0.117284	0.653846	3	23351.9	1.23259
A1	3559292	3602925	101	3581109	28	21	0.109694	0.419355	3	712.897	3.93255
A1	3582653	3635778	101	3609216	22	22	0.0495868	0.954545	0	0	0
A1	3602925	3674421	101	3638673.5	26	26	0.0414201	0.961538	0	0	0
A1	3635778	3728139	101	3681959	38	37	0.0304709	0.9	0	0	0
A1	3674421	3758608	101	3716515	14	14	0.0816327	0.928571	0	0	0
A1	3728139	3783136	101	3755638	14	13	0.102041	0.75	0	0	0
A1	3758608	3817384	101	3787996.5	36	36	0.029321	0.972222	0	0	0
A1	3783136	3879131	101	3831134	14	14	0.0816327	0.928571	0	0	0
A1	3817384	3926968	101	3872176.5	12	11	0.125	0.714286	0	0	0
A1	3879131	3956710	101	3917921	24	24	0.0451389	0.958333	0	0	0
A1	3926968	3993565	101	3960267	30	29	0.04	0.875	0	0	0
A1	3956710	4009750	101	3983230.5	20	18	0.08	0.833333	0	0	0
A1	3993565	4030434	101	4012000	22	17	0.132231	0.431818	2	13362.1	3.0642
A1	4009750	4061429	101	4035590	28	20	0.130102	0.454545	3	13362.1	4.48212
A1	4030434	4086608	101	4058521.5	20	17	0.1	0.678571	3	35494.3	1.32094
A1	4061429	4108776	101	4085103	24	22	0.0625	0.7	5	1.08453e+07	0.69578
A1	4086608	4156491	101	4121550	8	8	0.15625	0.875	7	5030.28	0.879008
A1	4108776	4182982	101	4145879.5	6	5	0.333333	0.5	5	712.897	3.12678
A1	4156491	4226438	101	4191465	14	14	0.0816327	0.928571	0	0	0
A1	4182982	4283924	101	4233453.5	14	14	0.0816327	0.928571	0	0	0
A1	4226438	4341728	101	4284083.5	10	10	0.12	0.9	0	0	0
A1	4283924	4391873	101	4337899	14	14	0.0816327	0.928571	0	0	0
A1	4341728	4437924	101	4389826.5	36	36	0.029321	0.972222	0	0	0
A1	4391873	4494395	101	4443134.5	36	36	0.029321	0.972222	0	0	0
A1	4437924	4527049	101	4482487	22	22	0.0495868	0.954545	0	0	0
A1	4494395	4577263	101	4535829.5	18	18	0.0617284	0.944444	0	0	0
A1	4527049	4626314	101	4576682	26	26	0.0414201	0.961538	0	0	0
A1	4577263	4667633	101	4622448.5	8	8	0.15625	0.875	7	1245.87	0.875834
A1	4626314	4716077	101	4671196	10	10	0.12	0.9	0	0	0
A1	4667633	4790109	101	4728871.5	22	20	0.0702479	0.678571	0	0	0
A1	4716077	4848979	101	4782528.5	24	24	0.0451389	0.958333	0	0	0
A1	4790109	4893518	101	4841814	30	30	0.0355556	0.966667	0	0	0
A1	4848979	4957076	101	4903028	6	6	0.222222	0.833333	6	4375.03	1.5756
A1	4893518	5004764	101	4949141.5	6	6	0.222222	0.833333	6	15363.4	1.62732
A1	4957076	5076557	101	5016817	8	8	0.15625	0.875	7	40810.3	1.03647
A1	5004764	5168427	101	5086596	8	8	0.15625	0.875	7	1893.69	0.875834
A1	5076557	5239668	101	5158113	12	12	0.0972222	0.916667	8	1.76799e+08	0.335238
A1	5168427	5301543	101	5234985.5	6	6	0.222222	0.833333	6	8791.03	1.57671
A1	5239668	5334928	101	5287298.5	2	2	1	0.5	2	1432.47	3.06236
A1	5301543	5375337	101	5338440.5	12	12	0.0972222	0.916667	0	0	0
A1	5334928	5417059	101	5375994	20	20	0.055	0.95	0	0	0
A1	5375337	5465744	101	5420541	10	10	0.12	0.9	0	0	0
A1	5417059	5512083	101	5464571.5	18	18	0.0617284	0.944444	0	0	0
A1	5465744	5538502	101	5502123.5	38	38	0.0277008	0.973684	0	0	0
A1	5512083	5603160	101	5557622	22	22	0.0495868	0.954545	0	0	0
A1	5538502	5632239	101	5585371	22	22	0.0495868	0.954545	0	0	0
A1	5603160	5663116	101	5633138.5	38	37	0.0304709	0.9	0	0	0
A1	5632239	5711529	101	5671884.5	12	12	0.0972222	0.916667	0	0	0
A1	5663116	5727964	101	5695540.5	12	12	0.0972222	0.916667	0	0	0
A1	5711529	5760104	101	5735817	30	30	0.0355556	0.966667	0	0	0
A1	5727964	5852442	101	5790203.5	8	8	0.15625	0.875	7	1432.47	0.875834
A1	5760104	6003348	101	5881726.5	8	8	0.15625	0.875	7	2503.42	0.875834
A1	5852442	6111705	101	5982074	16	16	0.0703125	0.9375	0	0	0
A1	6003348	6216649	101	6109999	14	14	0.0816327	0.928571	0	0	0
A1	6111705	6279881	101	6195793.5	14	14	0.0816327	0.928571	0	0	0
A1	6216649	6324239	101	6270444.5	10	10	0.12	0.9	0	0	0
A1	6279881	6400229	101	6340055.5	12	12	0.0972222	0.916667	0	0	0
A1	6324239	6425616	101	6374928	34	34	0.0311419	0.970588	0	0	0
A1	6400229	6502096	101	6451163	24	24	0.0451389	0.958333	0	0	0
A1	6425616	6548650	101	6487133.5	26	26	0.0414201	0.961538	0	0	0
A1	6502096	6570340	101	6536218.5	32	30	0.0429688	0.888889	0	0	0
A1	6548650	6618551	101	6583601	30	29	0.04	0.875	0	0	0
A1	6570340	6653613	101	6611977	22	22	0.0495868	0.954545	0	0	0
A1	6618551	6705638	101	6662095	12	12	0.0972222	0.916667	0	0	0
A1	6653613	6760818	101	6707216	8	8	0.15625	0.875	7	1245.87	0.875834
A1	6705638	6836203	101	6770921	10	10	0.12	0.9	0	0	0
A1	6760818	6914541	101	6837680	28	28	0.0382653	0.964286	0	0	0
A1	6836203	6989339	101	6912771.5	26	26	0.0414201	0.961538	0	0	0
A1	6914541	7033419	101	6973980.5	10	10	0.12	0.9	0	0	0
A1	6989339	7089209	101	7039274.5	6	6	0.222222	0.833333	6	1083.58	1.57558
A1	7033419	7118157	101	7075788.5	12	12	0.0972222	0.916667	0	0	0
A1	7089209	7154674	101	7121942	22	22	0.0495868	0.954545	0	0	0
A1	7118157	7192864	101	7155511	8	8	0.15625	0.875	7	819.669	0.875834
A1	7154674	7221852	101	7188263.5	6	6	0.222222	0.833333	6	11621.5	1.68022
A1	7192864	7235660	101	7214262.5	6	6	0.222222	0.833333	6	15363.4	1.84062
A1	7221852	7290452	101	7256152.5	6	6	0.222222	0.833333	6	1.76799e+08	1.62636
A1	7235660	7344258	101	7289959.5	10	10	0.12	0.9	0	0	0
A1	7290452	7436284	101	7363368.5	6	6	0.222222	0.833333	6	1432.47	1.57558
A1	7344258	7493985	101	7419122	26	26	0.0414201	0.961538	0	0	0
A1	7436284	7581383	101	7508834	34	34	0.0311419	0.970588	0	0	0
A1	7493985	7652438	101	7573212	14	14	0.0816327	0.928571	0	0	0
A1	7581383	7787810	101	7684597	6	6	0.222222	0.833333	6	5030.28	1.57558
A1	7652438	7911133	101	7781786	2	2	1	0.5	2	3805.12	3.06236
A1	7787810	7957230	101	7872520.5	4	4	0.375	0.75	4	2177.32	2.49187
A1	7911133	7997136	101	7954135	22	22	0.0495868	0.954545	0	0	0
A1	7957230	8036433	101	7996832	18	18	0.0617284	0.944444	0	0	0
A1	7997136	8109003	101	8053070	2	2	1	0.5	2	6649.92	3.07006
A1	8036433	8140283	101	8088358.5	2	2	1	0.5	2	5783.68	3.06386
A1	8109003	8170516	101	8139760	20	20	0.055	0.95	8	1.76799e+08	0.285287
A1	8140283	8187341	101	8163812.5	8	8	0.15625	0.875	3	1.76799e+08	10.1614
A1	8170516	8228298	101	8199407.5	8	8	0.15625	0.875	3	1.76799e+08	8.15486
A1	8187341	8254312	101	8220827	8	7	0.21875	0.6	3	1.76799e+08	8.15798
A1	8228298	8290173	101	8259236	26	14	0.242604	0.36	3	46922.6	12.4478
A1	8254312	8316131	101	8285222	32	14	0.308594	0.20283	3	53950.3	16.7997
A1	8290173	8401210	101	8345692	8	7	0.21875	0.6	3	1.76799e+08	7.01511
A1	8316131	8466021	101	8391076.5	8	7	0.21875	0.6	6	7645.89	2.06731
A1	8401210	8521693	101	8461452	32	32	0.0332031	0.96875	0	0	0
A1	8466021	8583389	101	8524705.5	22	22	0.0495868	0.954545	0	0	0
A1	8521693	8612591	101	8567142.5	26	26	0.0414201	0.961538	0	0	0
A1	8583389	8631872	101	8607631	30	23	0.0733333	0.68	5	11621.5	0.735783
A1	8612591	8671870	101	8642231	32	26	0.0859375	0.4375	2	942.433	5.91271
A1	8631872	8750582	101	8691227.5	36	36	0.029321	0.972222	0	0	0
A1	8671870	8791836	101	8731853.5	8	8	0.15625	0.875	7	1083.58	0.875834
A1	8750582	8803882	101	8777232.5	6	6	0.222222	0.833333	6	819.669	1.57558
A1	8791836	8816188	101	8804012.5	26	19	0.106509	0.666667	4	539.266	1.22244
A1	8803882	8840741	101	8822312	18	18	0.0617284	0.944444	0	0	0
A1	8816188	8860263	101	8838226	22	20	0.0702479	0.846154	0	0	0
A1	8840741	8898247	101	8869494.5	28	26	0.0510204	0.875	0	0	0
A1	8860263	8927719	101	8893991.5	26	26	0.0414201	0.961538	0	0	0
A1	8898247	8944812	101	8921530	12	12	0.0972222	0.916667	0	0	0
A1	8927719	8956383	101	8942051.5	16	12	0.179688	0.305556	1	469.02	3.10091
A1	8944812	8969822	101	8957317.5	36	34	0.037037	0.9	0	0	0
A1	8956383	8997135	101	8976759.5	16	16	0.0703125	0.9375	0	0	0
A1	8969822	9016406	101	8993114.5	16	15	0.0859375	0.777778	0	0	0
A1	8997135	9075680	101	9036408	24	24	0.0451389	0.958333	0	0	0
A1	9016406	9177944	101	9097175.5	24	24	0.0451389	0.958333	0	0	0
A1	9075680	9230424	101	9153052.5	8	8	0.15625	0.875	7	1647.02	0.875834
A1	9177944	9284704	101	9231324.5	4	4	0.375	0.75	4	17664.4	2.51625
A1	9230424	9357800	101	9294112.5	4	4	0.375	0.75	4	13362.1	2.51759
A1	9284704	9378944	101	9331824.5	6	6	0.222222	0.833333	6	5783.68	1.57625
A1	9357800	9419545	101	9388673	28	28	0.0382653	0.964286	0	0	0
A1	9378944	9447813	101	9413379	28	28	0.0382653	0.964286	0	0	0
A1	9419545	9486983	101	9453264.5	14	14	0.0816327	0.928571	0	0	0
A1	9447813	9566900	101	9507357	6	6	0.222222	0.833333	6	1432.47	1.57558
A1	9486983	9650187	101	9568585.5	8	8	0.15625	0.875	7	3805.12	0.875834
A1	9566900	9711973	101	9639437	14	14	0.0816327	0.928571	0	0	0
A1	9650187	9776834	101	9713511	8	8	0.15625	0.875	7	1432.47	0.875834
A1	9711973	9815953	101	9763963.5	12	12	0.0972222	0.916667	0	0	0
A1	9776834	9847809	101	9812322	36	36	0.029321	0.972222	0	0	0
A1	9815953	9884685	101	9850319.5	6	5	0.333333	0.5	5	3805.12	3.12715
A1	9847809	9907016	101	9877413	4	3	0.625	0.333333	3	712.897	4.53052
A1	9884685	9924327	101	9904506.5	26	21	0.0739645	0.763158	4	620.033	0.155366
A1	9907016	9947202	101	9927109.5	30	30	0.0355556	0.966667	0	0	0
A1	9924327	10000580	101	9962454	30	30	0.0355556	0.966667	0	0	0
A1	9947202	10042701	101	9994952	30	30	0.0355556	0.966667	0	0	0
A1	10000580	10098413	101	10049497	28	28	0.0382653	0.964286	0	0	0
A1	10042701	10140602	101	10091652	24	24	0.0451389	0.958333	0	0	0
A1	10098413	10231035	101	10164724.5	30	30	0.0355556	0.966667	0	0	0
A1	10140602	10279805	101	10210204	34	34	0.0311419	0.970588	0	0	0
A1	10231035	10346439	101	10288737.5	26	26	0.0414201	0.961538	0	0	0
A1	10279805	10416454	101	10348130	24	24	0.0451389	0.958333	0	0	0
A1	10346439	10512725	101	10429582.5	12	12	0.0972222	0.916667	0	0	0
A1	10416454	10576896	101	10496675.5	6	6	0.222222	0.833333	6	1893.69	1.57558
A1	10512725	10648997	101	10580861.5	4	4	0.375	0.75	4	1893.69	2.49187
A1	10576896	10738851	101	10657874	10	10	0.12	0.9	0	0	0
A1	10648997	10785428	101	10717213	18	17	0.0740741	0.8	0	0	0
A1	10738851	10851897	101	10795374.5	34	32	0.0397924	0.894737	0	0	0
A1	10785428	10945985	101	10865707	34	34	0.0311419	0.970588	0	0	0
A1	10851897	10968398	101	10910148	38	38	0.0277008	0.973684	0	0	0
A1	10945985	10994792	101	10970389	32	21	0.0878906	0.757576	6	712.897	0.685361
A1	10968398	11016291	101	10992345	28	26	0.0510204	0.875	0	0	0
A1	10994792	11025744	101	11010268.5	30	26	0.0666667	0.785714	2	539.266	0.778848
A1	11016291	11042672	101	11029482	26	22	0.0710059	0.75	5	40810.3	0.424461
A1	11025744	11064557	101	11045151	28	24	0.0637755	0.763158	5	1.76799e+08	2.49888
A1	11042672	11091140	101	11066906.5	38	27	0.0747922	0.789474	5	94284.6	2.48266
A1	11064557	11120030	101	11092294	6	6	0.222222	0.833333	5	879489	3.63887
A1	11091140	11132747	101	11111944	4	4	0.375	0.75	5	1.76799e+08	4.57075
A1	11120030	11142969	101	11131500	22	19	0.0867769	0.7	4	46922.6	4.0099
A1	11132747	11161104	101	11146926	38	13	0.289474	0.5	3	469.02	11.0238
A1	11142969	11215411	101	11179190.5	12	12	0.0972222	0.916667	5	250452	1.33658
A1	11161104	11293078	101	11227091.5	12	12	0.0972222	0.916667	8	1.76799e+08	0.0305512
A1	11215411	11340622	101	11278017	26	26	0.0414201	0.961538	0	0	0
A1	11293078	11431426	101	11362252.5	8	8	0.15625	0.875	7	2503.42	0.875834
A1	11431426	11628490	101	11529958.5	10	10	0.12	0.9	0	0	0
A1	11487710	11766732	101	11627221.5	26	26	0.0414201	0.961538	0	0	0
A1	11628490	11895922	101	11762206.5	16	16	0.0703125	0.9375	0	0	0
A1	11766732	12008825	101	11887779	18	17	0.0740741	0.8	0	0	0
A1	11895922	12068489	101	11982206	28	26	0.0510204	0.875	0	0	0
A1	12008825	12146775	101	12077800.5	30	29	0.04	0.875	0	0	0
A1	12068489	12239560	101	12154025	28	28	0.0382653	0.964286	0	0	0
A1	12146775	12269218	101	12207997	18	18	0.0617284	0.944444	0	0	0
A1	12239560	12299605	101	12269583	16	14	0.109375	0.8	0	0	0
A1	12269218	12322541	101	12295880	30	27	0.0555556	0.763158	0	0	0
A1	12299605	12415925	101	12357765.5	34	34	0.0311419	0.970588	0	0	0
A1	12322541	12496815	101	12409678.5	10	10	0.12	0.9	0	0	0
A1	12415925	12621846	101	12518886	6	6	0.222222	0.833333	6	5783.68	1.57558
A1	12496815	12702947	101	12599881.5	8	8	0.15625	0.875	7	40810.3	0.978882
A1	12621846	12863331	101	12742589	8	8	0.15625	0.875	7	1.76799e+08	2.66279
A1	12702947	13008960	101	12855954	2	2	1	0.5	2	2878.36	3.06236
A1	12863331	13174717	101	13019024.5	2	2	1	0.5	2	2878.36	3.06236
A1	13008960	13251650	101	13130305.5	34	34	0.0311419	0.970588	0	0	0
A1	13174717	13365014	101	13269866	26	26	0.0414201	0.961538	0	0	0
A1	13251650	13430605	101	13341128	26	26	0.0414201	0.961538	0	0	0
A1	13365014	13527575	101	13446295	36	36	0.029321	0.972222	0	0	0
A1	13430605	13626092	101	13528349	14	14	0.0816327	0.928571	0	0	0
A1	13527575	13697561	101	13612568.5	8	7	0.21875	0.6	6	5783.68	2.06516
A1	13626092	13743730	101	13684911.5	6	5	0.333333	0.5	5	1893.69	3.12678
A1	13697561	13811457	101	13754509.5	20	16	0.125	0.71875	2	2177.32	0.519232
A1	13743730	13913152	101	13828441.5	16	16	0.0703125	0.9375	8	1.76799e+08	0.00447577
A1	13811457	14067688	101	13939573	8	8	0.15625	0.875	7	2878.36	0.875834
A1	13913152	14215168	101	14064160.5	12	12	0.0972222	0.916667	0	0	0
A1	14067688	14313542	101	14190615.5	22	22	0.0495868	0.954545	0	0	0
A1	14215168	14454085	101	14334627	4	4	0.375	0.75	4	3805.12	2.49187
A1	14454085	14613248	101	14533667	2	2	1	0.5	2	2878.36	3.06236
A1	14535925	14735349	101	14635637.5	12	12	0.0972222	0.916667	8	1.76799e+08	0.0654608
A1	14613248	14783458	101	14698353.5	8	8	0.15625	0.875	7	1647.02	0.875834
A1	14735349	14856588	101	14795969	2	2	1	0.5	2	17664.4	3.0788
A1	14783458	14954850	101	14869154.5	2	2	1	0.5	7	1.76799e+08	4.73553
A1	14856588	15072990	101	14964789.5	8	8	0.15625	0.875	6	1.76799e+08	4.18662
A1	14954850	15252323	101	15103587	6	6	0.222222	0.833333	6	2177.32	1.57558
A1	15072990	15294893	101	15183942	12	12	0.0972222	0.916667	0	0	0
A1	15252323	15380806	101	15316565	16	14	0.109375	0.590909	0	0	0
A1	15294893	15528823	101	15411858.5	10	10	0.12	0.9	0	0	0
A1	15380806	15575784	101	15478295.5	6	6	0.222222	0.833333	6	1893.69	1.57558
A1	15528823	15711320	101	15620072	12	12	0.0972222	0.916667	6	1.76799e+08	0.0699057
A1	15711320	15980561	101	15845941	4	4	0.375	0.75	4	46922.6	2.61664
A1	15830605	16072550	101	15951578	4	4	0.375	0.75	4	1.76799e+08	5.6481
A1	15980561	16158860	101	16069711	8	7	0.21875	0.6	6	2503.42	2.06516
A1	16072550	16241656	101	16157103.5	10	10	0.12	0.9	7	1.76799e+08	1.18346
A1	16158860	16333583	101	16246222	8	8	0.15625	0.875	7	1.76799e+08	1.18444
A1	16241656	16422793	101	16332225	6	6	0.222222	0.833333	6	30870.7	1.60326
A1	16333583	16537922	101	16435753	4	4	0.375	0.75	6	1.76799e+08	4.48398
A1	16422793	16636283	101	16529538.5	2	2	1	0.5	2	2177.32	3.06236
A1	16537922	16693823	101	16615873	8	8	0.15625	0.875	7	2177.32	0.875834
A1	16636283	16777309	101	16706796.5	18	18	0.0617284	0.944444	8	1.76799e+08	0.0839386
A1	16693823	16881085	101	16787454.5	8	8	0.15625	0.875	7	2177.32	0.875834
A1	16777309	16983275	101	16880292.5	6	6	0.222222	0.833333	6	2878.36	1.57558
A1	16881085	17078541	101	16979813.5	18	18	0.0617284	0.944444	0	0	0
A1	16983275	17213766	101	17098521	12	12	0.0972222	0.916667	0	0	0
A1	17078541	17257433	101	17167987.5	16	16	0.0703125	0.9375	0	0	0
A1	17213766	17307489	101	17260628	12	12	0.0972222	0.916667	0	0	0
A1	17257433	17373541	101	17315487.5	4	4	0.375	0.75	4	1432.47	2.49187
A1	17307489	17434398	101	17370944	16	16	0.0703125	0.9375	0	0	0
A1	17373541	17511637	101	17442589.5	16	16	0.0703125	0.9375	0	0	0
A1	17434398	17568462	101	17501430.5	8	8	0.15625	0.875	7	1647.02	0.875834
A1	17511637	17635631	101	17573634.5	14	14	0.0816327	0.928571	0	0	0
A1	17568462	17743825	101	17656144	8	8	0.15625	0.875	7	2177.32	0.875834
A1	17635631	17830262	101	17732947	2	2	1	0.5	2	1893.69	3.06236
A1	17743825	17911734	101	17827780	8	8	0.15625	0.875	7	1893.69	0.875834
A1	17830262	17954150	101	17892206.5	28	26	0.0510204	0.735294	0	0	0
A1	17911734	18006040	101	17958887.5	12	12	0.0972222	0.916667	0	0	0
A1	17954150	18090583	101	18022367	10	10	0.12	0.9	0	0	0
A1	18006040	18183699	101	18094870	22	22	0.0495868	0.954545	0	0	0
A1	18090583	18234041	101	18162312.5	28	28	0.0382653	0.964286	0	0	0
A1	18183699	18297036	101	18240368	26	26	0.0414201	0.961538	0	0	0
A1	18234041	18384241	101	18309141.5	2	2	1	0.5	2	2503.42	3.06236
A1	18297036	18433404	101	18365220.5	4	4	0.375	0.75	4	6649.92	2.49196
A1	18384241	18502915	101	18443578.5	32	32	0.0332031	0.96875	0	0	0
A1	18433404	18571186	101	18502295.5	28	28	0.0382653	0.964286	0	0	0
A1	18502915	18660396	101	18581656	30	30	0.0355556	0.966667	0	0	0
A1	18571186	18691193	101	18631190	32	32	0.0332031	0.96875	0	0	0
A1	18660396	18711486	101	18685941.5	18	18	0.0617284	0.944444	0	0	0
A1	18691193	18736796	101	18713995	18	16	0.0925926	0.625	0	0	0
A1	18711486	18755843	101	18733665	30	23	0.0844444	0.553571	4	11621.5	1.954
A1	18736796	18779020	101	18757908.5	30	20	0.12	0.5	5	539.266	2.46042
A1	18755843	18796752	101	18776298	16	13	0.140625	0.625	5	30870.7	0.542846
A1	18779020	18831853	101	18805437	14	14	0.0816327	0.928571	0	0	0
A1	18796752	18884360	101	18840556.5	12	12	0.0972222	0.916667	0	0	0
A1	18831853	18962346	101	18897100	6	6	0.222222	0.833333	6	1245.87	1.57558
A1	18884360	19005717	101	18945039	18	18	0.0617284	0.944444	0	0	0
A1	18962346	19023130	101	18992738.5	20	20	0.055	0.95	0	0	0
A1	19005717	19044178	101	19024948	6	6	0.222222	0.833333	6	819.669	1.57558
