chr	start	end	nSNPs	pos	lp_nhaps	lp_uhaps	lp_h12	lp_h2h1	lp_m	lp_A	lp_L
A1	125910	140426	101	133168.5	22	22	0.0495868	0.954545	0	0	0
A1	127713	148581	101	138147.5	22	21	0.0578512	0.833333	0	0	0
A1	140426	246795	101	193611	2	2	1	0.5	2	4335.41	2.07555
A1	148581	314176	101	231379	2	2	1	0.5	2	11516.3	2.12803
A1	246795	647372	101	447084	6	6	0.222222	0.833333	6	1.00249e+08	1.97744
A1	314176	825086	101	569631.5	4	4	0.375	0.75	6	1.00249e+08	1.9772
A1	647372	996684	101	822028.5	2	2	1	0.5	4	1.00249e+08	4.00545
A1	825086	1149332	101	987209.5	4	4	0.375	0.75	4	1.00249e+08	3.61153
A1	996684	1287481	101	1142083	2	2	1	0.5	4	1.00249e+08	5.07542
A1	1149332	1328159	101	1238746	2	2	1	0.5	4	1.00249e+08	5.07542
A1	1328159	1724083	101	1526121.5	4	4	0.375	0.75	4	1.00249e+08	3.6089
A1	1724083	1885646	101	1804865	2	2	1	0.5	2	2157.6	2.07539
A1	1854235	1908817	101	1881526.5	18	12	0.228395	0.28	7	1.00249e+08	0.103889
A1	1885646	1940516	101	1913081.5	8	7	0.21875	0.6	7	933.899	0.720484
A1	1908817	2040585	101	1974701.5	2	2	1	0.5	2	1632.1	2.07539
A1	2068272	2156515	101	2112394	2	2	1	0.5	2	1234.59	2.07539
A1	2126915	2193340	101	2160128	14	12	0.132653	0.777778	0	0	0
A1	2156515	2213600	101	2185058	14	13	0.102041	0.75	0	0	0
A1	2193340	2266841	101	2230091	20	15	0.155	0.404762	0	0	0
A1	2213600	2311282	101	2262441.5	12	11	0.125	0.714286	0	0	0
A1	2266841	2374356	101	2320599	4	4	0.375	0.75	4	1632.1	1.46939
A1	2374356	2442207	101	2408282	2	2	1	0.5	2	11516.3	2.07601
A1	2414740	2525746	101	2470243.5	4	3	0.625	0.333333	4	1.00249e+08	7.53083
A1	2442207	2646923	101	2544565.5	4	4	0.375	0.75	4	1.00249e+08	7.53068
A1	2525746	2721660	101	2623703.5	4	4	0.375	0.75	4	1.00249e+08	8.51249
A1	2646923	2743322	101	2695123	4	4	0.375	0.75	4	13241.1	1.50091
A1	2721660	2767189	101	2744425	4	3	0.625	0.333333	3	5731.31	2.93581
A1	2743322	2783867	101	2763595	2	2	1	0.5	2	464.773	2.07539
A1	2767189	2796879	101	2782034.5	10	10	0.12	0.9	0	0	0
A1	2783867	2815553	101	2799710.5	18	14	0.123457	0.678571	0	0	0
A1	2836105	2932496	101	2884301	6	6	0.222222	0.833333	6	6589.7	0.748913
A1	2857056	3039209	101	2948133	6	6	0.222222	0.833333	6	26606.3	0.794832
A1	2932496	3125922	101	3029209.5	2	2	1	0.5	2	2157.6	2.07539
A1	3039209	3211619	101	3125414.5	2	2	1	0.5	2	2157.6	2.07539
A1	3125922	3282719	101	3204321	8	8	0.15625	0.875	8	1.00249e+08	1.16431
A1	3211619	3364151	101	3287885.5	8	8	0.15625	0.875	8	1.00249e+08	1.2278
A1	3282719	3442396	101	3362558	6	6	0.222222	0.833333	8	1.00249e+08	1.30524
A1	3364151	3530576	101	3447364	4	4	0.375	0.75	4	1876.55	1.46939
A1	3442396	3579085	101	3510741	6	6	0.222222	0.833333	7	1.00249e+08	1.57399
A1	3530576	3635349	101	3582963	8	8	0.15625	0.875	8	17504.4	0.271928
A1	3579085	3697298	101	3638192	4	4	0.375	0.75	4	1632.1	1.46939
A1	3635349	3764292	101	3699821	12	11	0.125	0.714286	0	0	0
A1	3697298	3838436	101	3767867.5	14	14	0.0816327	0.928571	0	0	0
A1	3764292	3858778	101	3811535.5	8	8	0.15625	0.875	8	1073.77	0.265837
A1	3838436	3904325	101	3871381	6	6	0.222222	0.833333	6	10016.2	0.751128
A1	3858778	3974937	101	3916858	4	4	0.375	0.75	4	1234.59	1.46939
A1	4087823	4214850	101	4151337	4	4	0.375	0.75	4	1.00249e+08	5.07858
A1	4156635	4302633	101	4229634.5	2	2	1	0.5	4	1.00249e+08	6.54536
A1	4214850	4366401	101	4290626	2	2	1	0.5	4	1.00249e+08	6.15049
A1	4302633	4428837	101	4365735.5	4	4	0.375	0.75	4	1.00249e+08	4.68343
