chr,start,end,windows,size,mean_lassi,max_lassi,gene_name,ensembl_id
A1,73110178,73171611,2,61433,20.14195,20.2494,FGF14,ENSFCAG00000033716
A1,85814082,85819530,1,5448,19.621,19.621,,ENSFCAG00000030490
A1,150954339,151072955,3,118616,26.3537,27.0449,,
A1,213880960,214185738,7,304778,23.61938571,28.2472,RAD1,AGXT2,BRIX1,TTC23L,DNAJC21,RAI14,PRLR,ENSFCAG00000035314,ENSFCAG00000008826,ENSFCAG00000042465,ENSFCAG00000000514,ENSFCAG00000029775,ENSFCAG00000000513,ENSFCAG00000008827
A2,159469042,159575346,2,106304,20.66835,21.6236,OR6B1,OR2A5,OR2A25,OR2A12,OR2A14,OR2A2,ENSFCAG00000018827,ENSFCAG00000029483,ENSFCAG00000042035,ENSFCAG00000045668,ENSFCAG00000045096,ENSFCAG00000022619
A3,7541352,7590916,1,49564,24.2915,24.2915,,ENSFCAG00000037604
A3,68394973,68630297,7,235324,32.36574286,38.7156,ATP6V1E2,TMEM247,RHOQ,EPAS1,ENSFCAG00000011593,ENSFCAG00000005136,ENSFCAG00000033287,ENSFCAG00000013629
A3,101659969,101982611,4,322642,29.214875,33.125,SUCLG1,DNAH6,ENSFCAG00000005140,ENSFCAG00000000768
A3,107718960,107775728,1,56768,19.2378,19.2378,ITPRIPL1,SNRNP200,NCAPH,ENSFCAG00000045827,ENSFCAG00000010699,ENSFCAG00000010702
A3,123700118,124023177,6,323059,21.11038333,22.5099,PFN4,TP53I3,SF3B6,FKBP1B,MFSD2B,UBXN2A,ITSN2,WDCP,ENSFCAG00000004306,ENSFCAG00000004305,ENSFCAG00000037101,ENSFCAG00000028526,ENSFCAG00000031365,ENSFCAG00000040740,ENSFCAG00000004302,ENSFCAG00000028218,ENSFCAG00000004308,ENSFCAG00000004303
B1,168711934,168755411,1,43477,29.9118,29.9118,,
B1,183090133,183118248,1,28115,36.1824,36.1824,,
B1,183573297,183729652,7,156355,27.9384,41.4589,,
B2,96324687,96510233,5,185546,25.04214,29.8439,,
B3,31237747,31487631,2,249884,18.96235,18.9693,ISL2,ETFA,SCAPER,ENSFCAG00000000066,ENSFCAG00000006109,ENSFCAG00000002872
B3,132917033,133101157,5,184124,28.6298,31.4528,,
B4,196483,416014,4,219531,21.9003,25.4922,ZMYND11,DIP2C,ENSFCAG00000033980,ENSFCAG00000000804
B4,454013,587742,4,133729,24.153925,27.0191,DIP2C,ENSFCAG00000000804
B4,1014234,1207005,7,192771,23.77361429,29.3928,IDI1,GTPBP4,WDR37,ENSFCAG00000002714,ENSFCAG00000000721,ENSFCAG00000026213,ENSFCAG00000008956
B4,15722815,15851888,7,129073,22.20468571,24.2173,CUBN,RSU1,ENSFCAG00000013560,ENSFCAG00000013559
B4,18548061,18659967,1,111906,19.2378,19.2378,MALRD1,ENSFCAG00000039642
B4,38613191,38880104,5,266913,25.5653,33.329,TSPAN11,CRACR2A,PRMT8,ENSFCAG00000042291,ENSFCAG00000015741,ENSFCAG00000015736
