chr,start,end,windows,size,mean_lassi,max_lassi,gene_name,ensembl_id
A1,8651870,8861616,6,209746,77.94188333,93.7305,,ENSFCAG00000014322,ENSFCAG00000043734
A1,26459092,26700656,10,241564,80.84971,95.1226,SERP2,ENSFCAG00000044942
A1,27364045,27477419,3,113374,64.59666667,65.35,ENOX1,ENSFCAG00000010984
A1,52027244,52275501,7,248257,71.77674286,79.6836,EDNRB,ENSFCAG00000023007
A1,52590197,52676621,2,86424,58.54005,59.2685,,
A1,112430303,112623870,7,193567,96.77304286,117.53,FSTL4,ENSFCAG00000014604
A1,136194555,136277085,1,82530,62.6207,62.6207,MAST4,ENSFCAG00000032306,ENSFCAG00000025450
A1,164333956,164483146,5,149190,76.52272,96.3787,,
A1,195051209,195166025,2,114816,65.5658,66.181,LARP1,ENSFCAG00000000592
A1,210804428,210862382,2,57954,68.567,71.5151,LIFR,ENSFCAG00000018250
A1,229011675,229129200,4,117525,64.93835,72.3814,MARCH11,FBXL7,ENSFCAG00000005741,ENSFCAG00000030930
A2,62494051,62622612,1,128561,57.1204,57.1204,GCK,YKT6,CAMK2B,NUDCD3,ENSFCAG00000014361,ENSFCAG00000014362,ENSFCAG00000019129,ENSFCAG00000010253
A2,66472173,66512517,1,40344,61.1773,61.1773,IKZF1,ENSFCAG00000042921
A2,167624451,167778121,8,153670,67.8709875,95.6281,DPP6,ENSFCAG00000008374
A3,17037848,17098427,1,60579,64.1876,64.1876,IFT52,SGK2,MYBL2,ENSFCAG00000011137,ENSFCAG00000001877,ENSFCAG00000011141
A3,21073922,21109842,1,35920,58.3497,58.3497,DHX35,ENSFCAG00000025103
A3,29257627,29479181,7,221554,74.51251429,87.5894,STK35,ENSFCAG00000046430,ENSFCAG00000007974,ENSFCAG00000014443
A3,46990092,47069199,7,79107,64.24738571,67.6742,,
A3,119966956,120319036,12,352080,83.53743333,104.268,FOSL2,PLB1,BABAM2,ENSFCAG00000039110,ENSFCAG00000005165,ENSFCAG00000003304
A3,122906256,122995089,2,88833,74.7738,80.2052,DNMT3A,ENSFCAG00000003659
A3,124293156,124394048,3,100892,71.72713333,80.4907,KLHL29,ENSFCAG00000003613
A3,126926446,127090972,4,164526,68.165175,77.0348,GDF7,LDAH,HS1BP3,ENSFCAG00000044521,ENSFCAG00000026226,ENSFCAG00000002398
A3,127102204,127141589,1,39385,59.0894,59.0894,,
A3,127405086,127530931,4,125845,66.041225,67.9681,SDC1,ENSFCAG00000005354
A3,127957957,128075175,3,117218,66.25623333,72.9027,OSR1,ENSFCAG00000026754
A3,128117398,128220931,2,103533,89.3941,89.4068,OSR1,ENSFCAG00000026754
A3,130661590,130862334,6,200744,63.58908333,71.7347,,
A3,141718783,141836333,4,117550,75.0575,90.3591,,
A3,141874625,141950833,3,76208,59.4258,60.9891,,
B1,117432117,117664410,12,232293,111.130025,141.671,PAPSS1,ENSFCAG00000007221
B1,185442240,185521415,2,79175,62.2945,62.6783,,
B1,188296860,188355754,1,58894,59.467,59.467,,
B1,201092750,201143377,1,50627,66.6325,66.6325,WDR1,SLC2A9,ENSFCAG00000011317,ENSFCAG00000011316
B1,201449348,201513691,2,64343,62.2296,64.4098,TMEM128,LYAR,OTOP1,ENSFCAG00000015507,ENSFCAG00000028343,ENSFCAG00000015506
B1,202589330,202794812,6,205482,83.82701667,93.0724,EVC2,STK32B,ENSFCAG00000004076,ENSFCAG00000004075,ENSFCAG00000004074
B1,202847167,203409512,25,562345,128.360584,236.469,WFS1,CRMP1,PPP2R2C,ENSFCAG00000004078,ENSFCAG00000004079,ENSFCAG00000044081,ENSFCAG00000040449,ENSFCAG00000004077,ENSFCAG00000006161
B2,4544967,4834640,13,289673,103.9426615,135.429,CARMIL1,CMAH,ENSFCAG00000014666,ENSFCAG00000002804
B2,38771643,38971725,8,200082,104.3277125,129.489,CMTR1,CCDC167,MDGA1,ENSFCAG00000006744,ENSFCAG00000006745,ENSFCAG00000006747
B2,40982075,41079212,2,97137,62.2327,63.4157,MOCS1,DAAM2,ENSFCAG00000006417,ENSFCAG00000006415
B2,41858529,42041328,8,182799,68.24745,77.0051,,
B2,115856087,115921537,1,65450,57.3077,57.3077,,ENSFCAG00000041241
B2,138169671,138315937,7,146266,84.20475714,98.3692,PPP1R14C,ENSFCAG00000023771,ENSFCAG00000035894
B2,150187006,150365641,8,178635,64.6479625,78.3395,,
B2,150436118,150489389,1,53271,57.1352,57.1352,,
B3,15283092,15467657,8,184565,76.43195,100.882,,
B3,21073184,21160146,2,86962,58.7497,58.7547,APBA2,FAM189A1,ENSFCAG00000008067,ENSFCAG00000008069
B3,77782663,77964870,2,182207,62.3679,63.831,,
B4,3269171,3372647,5,103476,79.55862,92.6263,,
B4,3426050,3482978,1,56928,59.1845,59.1845,,
B4,3869091,4024310,7,155219,79.00678571,91.2266,,
B4,15499152,15542542,1,43390,65.6436,65.6436,C1QL3,PTER,ENSFCAG00000043670,ENSFCAG00000013558
B4,20833660,21052253,4,218593,70.96375,77.9479,COMMD3,BMI1,SPAG6,ENSFCAG00000007230,ENSFCAG00000036566,ENSFCAG00000005488
C1,100039950,100111362,2,71412,60.1178,61.9594,IGSF3,ENSFCAG00000011343
C1,125026978,125257875,8,230897,73.9094375,88.6416,DPP10,ENSFCAG00000005743
C1,145562666,145608401,1,45735,58.9326,58.9326,FMNL2,ENSFCAG00000005239
C2,127509526,127601104,1,91578,59.2294,59.2294,CLDN18,ENSFCAG00000001802
C2,136426072,136496038,2,69966,63.46795,66.603,PLCL2,ENSFCAG00000022152
C2,139378444,139576968,9,198524,79.13744444,111.471,,
C2,154370688,154478311,2,107623,58.65255,58.6836,SCN10A,SCN5A,ENSFCAG00000003166,ENSFCAG00000003161
C2,155500870,155601387,4,100517,68.1169,70.6279,ITGA9,ENSFCAG00000002281
C2,156808677,157054044,14,245367,83.72438571,104.286,ARPP21,ENSFCAG00000013391
C2,157420077,157546075,2,125998,64.06115,66.4535,,
C2,157604795,157882055,11,277260,77.66044545,90.6799,,
C2,158151823,158347601,5,195778,84.57688,93.4728,,
D1,77892149,78066242,5,174093,66.38296,68.7695,HTATIP2,PRMT3,ENSFCAG00000030053,ENSFCAG00000031309
D1,109260802,109333698,1,72896,57.088,57.088,RCOR2,NAA40,COX8A,OTUB1,MARK2,ENSFCAG00000014656,ENSFCAG00000014660,ENSFCAG00000014662,ENSFCAG00000029184,ENSFCAG00000014652
D2,65882072,66201950,9,319878,133.1083444,179.974,,
D2,74912539,75064409,6,151870,74.17045,81.7541,GFRA1,ENSFCAG00000027107
D2,75099962,75160279,2,60317,91.0707,91.0843,CCDC172,GFRA1,ENSFCAG00000024420,ENSFCAG00000027107
D2,75417468,75710521,12,293053,82.21450833,103.579,C10orf82,PNLIPRP1,PNLIPRP2,ENO4,SHTN1,HSPA12A,ENSFCAG00000013644,ENSFCAG00000001515,ENSFCAG00000001516,ENSFCAG00000001518,ENSFCAG00000023428,ENSFCAG00000001517
D2,80150150,80344216,8,194066,68.7752,76.7428,BTBD16,ENSFCAG00000026479,ENSFCAG00000003652
D3,74062788,74307511,26,244723,132.6773692,176.21,DCC,ENSFCAG00000012953
D3,84979110,85067663,3,88553,59.25986667,61.2446,,
D3,85129714,85228030,2,98316,60.97245,63.187,CDH7,ENSFCAG00000019323
D3,86545339,86866635,17,321296,99.23145882,131.315,,
D4,26280315,26340034,1,59719,60.4364,60.4364,,
D4,80373174,80425436,1,52262,61.9554,61.9554,,
D4,80502587,80627655,4,125068,67.839125,79.8831,BRINP1,ENSFCAG00000033056
E2,11572898,11797354,4,224456,74.364675,95.3494,NKPD1,GEMIN7,ZNF296,APOC2,TOMM40,PPP1R37,CLASRP,CLPTM1,APOE,NECTIN2,BCAM,CBLC,RELB,ENSFCAG00000042894,ENSFCAG00000043198,ENSFCAG00000040249,ENSFCAG00000018891,ENSFCAG00000004795,ENSFCAG00000033939,ENSFCAG00000004793,ENSFCAG00000001768,ENSFCAG00000033941,ENSFCAG00000004797,ENSFCAG00000004788,ENSFCAG00000028198,ENSFCAG00000004786,ENSFCAG00000004785,ENSFCAG00000025715
E2,21233915,21298305,3,64390,60.97596667,61.9929,,
E2,21372977,21477566,5,104589,80.69796,91.5335,TSHZ3,ENSFCAG00000004896
E2,21559959,21647111,2,87152,74.4629,78.4978,,
E2,36970485,37091010,3,120525,68.84093333,71.5319,ZNF319,USB1,TEPP,MMP15,CFAP20,ENSFCAG00000024689,ENSFCAG00000002693,ENSFCAG00000031698,ENSFCAG00000002694,ENSFCAG00000002691,ENSFCAG00000015358
